[00:00.570 --> 00:02.570]  And we are live.
[05:11:58.470 --> 05:12:00.470]  bed, ginkgo being
[05:12:00.470 --> 05:12:02.470]  such a kind of a light wood
[05:12:02.470 --> 05:12:04.470]  anyway, it doesn't take a long time to
[05:12:04.470 --> 05:12:06.470]  grow and with all the ramal
[05:12:06.470 --> 05:12:08.470]  wood in there
[05:12:08.470 --> 05:12:10.470]  adding all that
[05:12:10.470 --> 05:12:12.470]  growth hormone and all that
[05:12:12.470 --> 05:12:14.470]  I think that's going to be really
[05:12:14.470 --> 05:12:16.470]  it's going to bring a bed to life after
[05:12:16.470 --> 05:12:18.470]  about a couple of years
[05:12:18.470 --> 05:12:20.470]  it won't be immediately like
[05:12:20.470 --> 05:12:22.470]  this stuff takes time to break down
[05:12:22.470 --> 05:12:24.470]  and it gets better over time
[05:12:26.470 --> 05:12:28.470]  but the thing is
[05:12:28.470 --> 05:12:30.470]  it seems complex to set up
[05:12:30.470 --> 05:12:32.470]  it's not, but once it's going
[05:12:32.470 --> 05:12:34.470]  to be water only
[05:12:34.470 --> 05:12:36.470]  this will be water only for years
[05:12:36.470 --> 05:12:38.470]  I still will top dress
[05:12:38.470 --> 05:12:40.470]  I'll still water with
[05:12:40.470 --> 05:12:42.470]  natural farming inputs
[05:12:42.470 --> 05:12:44.470]  but as far as the soil
[05:12:44.470 --> 05:12:46.470]  being preloaded
[05:12:46.470 --> 05:12:48.470]  and having everything available to it
[05:12:48.470 --> 05:12:50.470]  a soil like this will
[05:12:50.470 --> 05:12:52.470]  have that
[05:12:52.470 --> 05:12:54.470]  on your over horizon
[05:12:54.470 --> 05:12:56.470]  that includes your
[05:12:56.470 --> 05:12:58.470]  plants that are growing in it as well
[05:12:58.470 --> 05:13:00.470]  not only the plants but all
[05:13:00.470 --> 05:13:02.470]  the soil biology that's in that
[05:13:02.470 --> 05:13:04.470]  layer as well
[05:13:04.470 --> 05:13:06.470]  I like creeping time
[05:13:06.470 --> 05:13:08.470]  I've just been using
[05:13:08.470 --> 05:13:10.470]  it recently, but I grow it outdoors
[05:13:10.470 --> 05:13:12.470]  in my gardens
[05:13:12.470 --> 05:13:14.470]  and I just
[05:13:14.470 --> 05:13:16.470]  toss it everywhere, flower beds
[05:13:16.470 --> 05:13:18.470]  everywhere, just let it grow and that's one thing
[05:13:18.470 --> 05:13:20.470]  I thought, I noticed nothing ever
[05:13:20.470 --> 05:13:22.470]  eats it, like it's there
[05:13:22.470 --> 05:13:24.470]  growing, it's healthy, but there's never
[05:13:24.470 --> 05:13:26.470]  any pest eating it
[05:13:26.470 --> 05:13:28.470]  and I love how it stays low
[05:13:28.470 --> 05:13:30.470]  and it really gives the soil
[05:13:30.470 --> 05:13:32.470]  biology a nice home
[05:13:32.470 --> 05:13:34.470]  in there, some of your cover crops
[05:13:34.470 --> 05:13:36.470]  grow tall and then there's a big
[05:13:36.470 --> 05:13:38.470]  space between the surface
[05:13:38.470 --> 05:13:40.470]  of the soil and the crop
[05:13:40.470 --> 05:13:42.470]  where these creeping time are kind of
[05:13:42.470 --> 05:13:44.470]  curly, they're down low
[05:13:46.470 --> 05:13:48.470]  and the soil biology
[05:13:48.470 --> 05:13:50.470]  seems to really like it
[05:14:01.880 --> 05:14:03.880]  a lot of people say
[05:14:03.880 --> 05:14:05.880]  what is natural farming?
[05:14:05.880 --> 05:14:07.880]  what's a natural farmer?
[05:14:07.880 --> 05:14:09.880]  I feel like anybody that's mindful
[05:14:09.880 --> 05:14:11.880]  of
[05:14:11.880 --> 05:14:13.880]  you're mindful of what's going
[05:14:13.880 --> 05:14:15.880]  into your soil, you're mindful of how you're
[05:14:15.880 --> 05:14:17.880]  growing your plants, you're mindful that
[05:14:17.880 --> 05:14:19.880]  you're not using chemicals
[05:14:19.880 --> 05:14:21.880]  you're not using
[05:14:21.880 --> 05:14:23.880]  fertilizers, you're trying to
[05:14:23.880 --> 05:14:25.880]  wild harvest things as much as you can
[05:14:25.880 --> 05:14:27.880]  and you're focusing on
[05:14:27.880 --> 05:14:29.880]  indigenous microorganisms
[05:14:29.880 --> 05:14:31.880]  to me that's natural farming
[05:14:31.880 --> 05:14:33.880]  now
[05:14:33.880 --> 05:14:35.880]  a living soil does not have to be as complex
[05:14:35.880 --> 05:14:37.880]  as a horizontal soil
[05:14:37.880 --> 05:14:39.880]  don't get me wrong, you can
[05:14:39.880 --> 05:14:41.880]  definitely take a good quality
[05:14:41.880 --> 05:14:43.880]  soil, start adding IMO
[05:14:43.880 --> 05:14:45.880]  and the other
[05:14:45.880 --> 05:14:47.880]  things that I mentioned, and that soil will be
[05:14:47.880 --> 05:14:49.880]  great, it will be awesome soil
[05:14:49.880 --> 05:14:51.880]  the thing I like about the
[05:14:51.880 --> 05:14:53.880]  building kind of horizontal
[05:14:53.880 --> 05:14:55.880]  and this method is
[05:14:55.880 --> 05:14:57.880]  like a lot of people say, I don't like to have to
[05:14:57.880 --> 05:14:59.880]  do a lot of things in my garden
[05:14:59.880 --> 05:15:01.880]  I like for it to kind of do its own
[05:15:01.880 --> 05:15:03.880]  thing and
[05:15:03.880 --> 05:15:05.880]  have water and tend to it but
[05:15:05.880 --> 05:15:07.880]  if you guys
[05:15:07.880 --> 05:15:09.880]  back in the day you had all these bottles
[05:15:09.880 --> 05:15:11.880]  and you were really a
[05:15:11.880 --> 05:15:13.880]  slave to that
[05:15:13.880 --> 05:15:15.880]  you couldn't take a vacation
[05:15:15.880 --> 05:15:17.880]  you can, but
[05:15:17.880 --> 05:15:19.880]  you'd have to set up things
[05:15:19.880 --> 05:15:21.880]  like with a nice living soil
[05:15:21.880 --> 05:15:23.880]  you may have to water
[05:15:23.880 --> 05:15:25.880]  once a week, you know what I mean?
[05:15:25.880 --> 05:15:27.880]  when you get it well established
[05:15:27.880 --> 05:15:29.880]  they hold so much water
[05:15:29.880 --> 05:15:31.880]  so you know
[05:15:31.880 --> 05:15:33.880]  you're not like captive by your
[05:15:33.880 --> 05:15:35.880]  garden, which is one of the big things
[05:15:35.880 --> 05:15:37.880]  about it that I like
[05:15:37.880 --> 05:15:39.880]  and just
[05:15:39.880 --> 05:15:41.880]  overall the ease of it
[05:15:41.880 --> 05:15:43.880]  if you're not
[05:15:43.880 --> 05:15:45.880]  having to move or anything like that
[05:15:45.880 --> 05:15:47.880]  build one of these
[05:15:47.880 --> 05:15:49.880]  and just leave it and don't
[05:15:49.880 --> 05:15:51.880]  bother with it
[05:15:51.880 --> 05:15:53.880]  I think it's well worth the time spent
[05:15:57.880 --> 05:16:06.720]  yeah and then
[05:16:06.720 --> 05:16:08.720]  another thing
[05:16:08.720 --> 05:16:10.720]  like wild harvesting, like always
[05:16:10.720 --> 05:16:12.720]  look for what's available
[05:16:12.720 --> 05:16:14.720]  to you
[05:16:14.720 --> 05:16:16.720]  like
[05:16:16.720 --> 05:16:18.720]  local persimmons
[05:16:18.720 --> 05:16:20.720]  like every fall I know I'm going to harvest
[05:16:20.720 --> 05:16:22.720]  my neighbor's persimmon and I'm going to make
[05:16:22.720 --> 05:16:24.720]  vinegar out of that and use it on my garden
[05:16:24.720 --> 05:16:26.720]  and I'm going to drink it myself too
[05:16:26.720 --> 05:16:28.720]  harvesting
[05:16:28.720 --> 05:16:30.720]  your microorganisms is big
[05:16:30.720 --> 05:16:32.720]  taking it a step and going to
[05:16:32.720 --> 05:16:34.720]  IMO 3
[05:16:34.720 --> 05:16:36.720]  I think you can't beat that
[05:16:36.720 --> 05:16:38.720]  for the amount
[05:16:38.720 --> 05:16:40.720]  of biology getting into your soil
[05:16:40.720 --> 05:16:42.720]  and
[05:16:42.720 --> 05:16:44.720]  the Dom liquid fertilizers are very
[05:16:44.720 --> 05:16:46.720]  awesome, you know, like I said
[05:16:46.720 --> 05:16:48.720]  to tailor them to kind of fit
[05:16:48.720 --> 05:16:50.720]  however you grow or how you're
[05:16:50.720 --> 05:16:52.720]  growing, the plants you have
[05:16:52.720 --> 05:16:54.720]  available to you
[05:16:54.720 --> 05:16:56.720]  all those things I think are very key
[05:16:56.720 --> 05:16:58.720]  to giving you a
[05:16:58.720 --> 05:17:00.720]  good quality soil
[05:17:00.720 --> 05:17:02.720]  which is basically, as we all know
[05:17:02.720 --> 05:17:04.720]  the root of our plant
[05:17:04.720 --> 05:17:06.720]  I mean, you're not going to get a quality plant
[05:17:06.720 --> 05:17:08.720]  if you don't start with quality soil
[05:17:08.720 --> 05:17:10.720]  you know, so
[05:17:10.720 --> 05:17:12.720]  living soil to me is
[05:17:12.720 --> 05:17:14.720]  probably the best, focusing on
[05:17:14.720 --> 05:17:16.720]  soil food web
[05:17:16.720 --> 05:17:18.720]  to me your whole horizon
[05:17:18.720 --> 05:17:20.720]  should contain all of
[05:17:20.720 --> 05:17:22.720]  pretty much a member of each one of your
[05:17:22.720 --> 05:17:24.720]  soil food web colonies
[05:17:24.720 --> 05:17:26.720]  meaning like earthworms, arthropods
[05:17:26.720 --> 05:17:28.720]  springtails
[05:17:28.720 --> 05:17:30.720]  you know
[05:17:30.720 --> 05:17:32.720]  isopods, on down
[05:17:32.720 --> 05:17:34.720]  to protozoa, nematodes
[05:17:34.720 --> 05:17:36.720]  fungi, bacteria
[05:17:36.720 --> 05:17:38.720]  all that is part of what makes up
[05:17:38.720 --> 05:17:40.720]  that horizon where the plants
[05:17:40.720 --> 05:17:42.720]  grow, you know what I mean
[05:17:42.720 --> 05:17:44.720]  in nature
[05:17:44.720 --> 05:17:46.720]  plants grow, they drop their leaves
[05:17:46.720 --> 05:17:48.720]  those are cycled back down
[05:17:48.720 --> 05:17:50.720]  into the soil, plant reuses
[05:17:50.720 --> 05:17:52.720]  them and that process
[05:17:52.720 --> 05:17:54.720]  continues and
[05:17:54.720 --> 05:17:56.720]  there's no reason you can't have that same process
[05:17:56.720 --> 05:17:58.720]  indoors, you know what I mean
[05:17:58.720 --> 05:18:00.720]  and with a good living soil it's very
[05:18:00.720 --> 05:18:02.720]  possible
[05:18:02.720 --> 05:18:04.720]  so I guess at this point
[05:18:04.720 --> 05:18:06.720]  let's just take some questions if anybody has
[05:18:06.720 --> 05:18:08.720]  some and then I'll just crank back up
[05:18:08.720 --> 05:18:10.720]  and we'll sum it up
[05:18:10.720 --> 05:18:12.720]  real quick I wanted to talk about
[05:18:12.720 --> 05:18:14.720]  the show that we're going to do
[05:18:14.720 --> 05:18:16.720]  as well because I want you to kind of give
[05:18:16.720 --> 05:18:18.720]  your perspective and stuff
[05:18:18.720 --> 05:18:20.720]  people kind of know if they are watching on Thursdays
[05:18:20.720 --> 05:18:22.720]  they kind of know my personality and all that
[05:18:22.720 --> 05:18:24.720]  stuff but there's a reason why you and I are
[05:18:24.720 --> 05:18:26.720]  doing this so if you can kind of
[05:18:26.720 --> 05:18:28.720]  talk about that and we'll get into it
[05:18:28.720 --> 05:18:30.720]  as far as the show I'm really excited
[05:18:30.720 --> 05:18:32.720]  about that, I think it'll be
[05:18:32.720 --> 05:18:34.720]  you know Brian and I
[05:18:34.720 --> 05:18:36.720]  we're on the same page
[05:18:36.720 --> 05:18:38.720]  like I'm sure you all can see
[05:18:38.720 --> 05:18:40.720]  I'm not a young spring chicken, I'm an older
[05:18:40.720 --> 05:18:42.720]  guy and with that
[05:18:42.720 --> 05:18:44.720]  age you know you just
[05:18:44.720 --> 05:18:46.720]  learn that respect is
[05:18:46.720 --> 05:18:48.720]  a huge thing in everything
[05:18:48.720 --> 05:18:50.720]  you do
[05:18:50.720 --> 05:18:52.720]  I like the way
[05:18:52.720 --> 05:18:54.720]  I think our show is going to be great as far as
[05:18:54.720 --> 05:18:56.720]  we're going to hit like all
[05:18:56.720 --> 05:18:58.720]  age groups I think everyone is going to be able to
[05:18:58.720 --> 05:19:00.720]  benefit from our show
[05:19:00.720 --> 05:19:02.720]  what I really don't want to see is
[05:19:02.720 --> 05:19:04.720]  I appreciate
[05:19:04.720 --> 05:19:06.720]  I should have did this when I started but I appreciate all
[05:19:06.720 --> 05:19:08.720]  the speakers that we have here for me
[05:19:08.720 --> 05:19:10.720]  this is not easy
[05:19:10.720 --> 05:19:12.720]  y'all, I mean you got people that are coming up here
[05:19:12.720 --> 05:19:14.720]  just doing this stuff trying to share
[05:19:14.720 --> 05:19:16.720]  something to help you guys
[05:19:16.720 --> 05:19:18.720]  and I actually you know
[05:19:18.720 --> 05:19:20.720]  called my wife here a little bit ago and
[05:19:20.720 --> 05:19:22.720]  told me that some of the comments on some of the
[05:19:22.720 --> 05:19:24.720]  other speakers were pretty you know disrespectful
[05:19:24.720 --> 05:19:26.720]  you know and
[05:19:26.720 --> 05:19:28.720]  to me you know
[05:19:28.720 --> 05:19:30.720]  nobody has to be here
[05:19:30.720 --> 05:19:32.720]  you know what I mean if you love what we're
[05:19:32.720 --> 05:19:34.720]  kicking stay here and run with us
[05:19:34.720 --> 05:19:36.720]  you know what I mean but if you don't
[05:19:36.720 --> 05:19:38.720]  if I don't like something or what somebody's doing
[05:19:38.720 --> 05:19:40.720]  I got plenty of things I can do
[05:19:40.720 --> 05:19:42.720]  than to sit there and find
[05:19:42.720 --> 05:19:44.720]  something wrong with what they're doing
[05:19:44.720 --> 05:19:46.720]  the one thing about
[05:19:46.720 --> 05:19:48.720]  us you know about our
[05:19:48.720 --> 05:19:50.720]  plant is that
[05:19:50.720 --> 05:19:52.720]  there's a million ways to grow it
[05:19:52.720 --> 05:19:54.720]  you know and we should all
[05:19:54.720 --> 05:19:56.720]  be kind of mindful
[05:19:56.720 --> 05:19:58.720]  and look at each other as members
[05:19:58.720 --> 05:20:00.720]  of our own community whether or not
[05:20:00.720 --> 05:20:02.720]  he does it this way or he does it that way
[05:20:02.720 --> 05:20:04.720]  we're still in the same community
[05:20:04.720 --> 05:20:06.720]  so at the very minimum we should at least
[05:20:06.720 --> 05:20:08.720]  respect each other for having the
[05:20:08.720 --> 05:20:10.720]  same love for the same plant you know what I mean
[05:20:10.720 --> 05:20:12.720]  so that's kind of
[05:20:12.720 --> 05:20:14.720]  I think for the show I think it's going to be great
[05:20:14.720 --> 05:20:16.720]  I think we're going to bring
[05:20:16.720 --> 05:20:18.720]  try to bring a lot more
[05:20:18.720 --> 05:20:20.720]  just new
[05:20:20.720 --> 05:20:22.720]  faces a lot of people that
[05:20:22.720 --> 05:20:24.720]  haven't had platforms and
[05:20:24.720 --> 05:20:26.720]  just because like a guy doesn't
[05:20:26.720 --> 05:20:28.720]  have any followers that doesn't
[05:20:28.720 --> 05:20:30.720]  mean anything about that person's
[05:20:30.720 --> 05:20:32.720]  knowledge so we're just going to be
[05:20:32.720 --> 05:20:34.720]  looking for people that are like right
[05:20:34.720 --> 05:20:36.720]  like people that can add to the community
[05:20:36.720 --> 05:20:38.720]  you know
[05:20:38.720 --> 05:20:40.720]  be a benefit
[05:20:40.720 --> 05:20:42.720]  to the community positive
[05:20:42.720 --> 05:20:44.720]  minded people helpful people
[05:20:44.720 --> 05:20:46.720]  we should
[05:20:46.720 --> 05:20:48.720]  all be helping each other you know what I mean
[05:20:48.720 --> 05:20:50.720]  so we learn something teach that
[05:20:50.720 --> 05:20:52.720]  because when you teach it you're going to also
[05:20:52.720 --> 05:20:54.720]  learn it more you know what I mean so
[05:20:54.720 --> 05:20:56.720]  I feel like that's kind of what our show
[05:20:56.720 --> 05:20:58.720]  is going to be on
[05:20:58.720 --> 05:21:00.720]  you know it'll be a little bit different
[05:21:00.720 --> 05:21:02.720]  than this you know
[05:21:02.720 --> 05:21:04.720]  we'll be able to loosen up we'll have a good time
[05:21:04.720 --> 05:21:06.720]  with it you know right now I'm kind of like
[05:21:06.720 --> 05:21:08.720]  you know I'm the speaker
[05:21:08.720 --> 05:21:10.720]  here so you want to make sure everything's perfect
[05:21:10.720 --> 05:21:12.720]  but yeah the show is going to be really
[05:21:12.720 --> 05:21:14.720]  good you guys will like it man
[05:21:14.720 --> 05:21:16.720]  we'll show a lot more of our personalities and stuff
[05:21:16.720 --> 05:21:18.720]  well and also I want to share more of our
[05:21:18.720 --> 05:21:20.720]  backgrounds you know like we're
[05:21:20.720 --> 05:21:22.720]  I like to for the
[05:21:22.720 --> 05:21:24.720]  lack of a better term of course
[05:21:24.720 --> 05:21:26.720]  we wanted those were the cowboy days
[05:21:26.720 --> 05:21:28.720]  those were stuff when we want to share with you what it
