[00:00.250 --> 00:03.890]  All right, take two.
[01:44:10.640 --> 01:44:15.040]  Then the trim, like you, like Duke was saying, man, be gentle with your trim.
[01:44:15.040 --> 01:44:16.000]  Take your time.
[01:44:16.000 --> 01:44:17.040]  Don't be rough.
[01:44:17.040 --> 01:44:17.760]  You know what I mean?
[01:44:18.800 --> 01:44:22.880]  You're dealing with, you took all that time to grow this stuff and now you want to be
[01:44:22.880 --> 01:44:23.280]  rough.
[01:44:23.280 --> 01:44:25.600]  You know, if you're going to be rough, be rough and veg.
[01:44:25.600 --> 01:44:29.520]  That's when the plants need to be roughed up, you know, get them tough.
[01:44:29.520 --> 01:44:32.080]  Get those stems rough, you know, move them around.
[01:44:32.720 --> 01:44:35.920]  But once they start flowering, man, they're babies then.
[01:44:35.920 --> 01:44:36.960]  They're back to babies.
[01:44:36.960 --> 01:44:39.920]  You just let those babies do their thing.
[01:44:39.920 --> 01:44:43.760]  And then the cure, you know, that's all part of drying, you know, take your time.
[01:44:44.240 --> 01:44:49.360]  He is very valid when he says, you know, everyone says, well, if it's a dark ash, it's, you
[01:44:49.360 --> 01:44:50.640]  know, it was grown with chemicals.
[01:44:50.640 --> 01:44:51.680]  It was white ash.
[01:44:51.680 --> 01:44:53.360]  It was all good.
[01:44:53.360 --> 01:44:59.280]  Well, you can have fresh, all natural farming, zero chemicals.
[01:44:59.280 --> 01:45:04.720]  But if you, if you smoke that too soon after drying it, you'll get a terrible burn.
[01:45:04.720 --> 01:45:05.360]  You know what I mean?
[01:45:05.360 --> 01:45:10.000]  So there is value in that slow dry, just taking your time.
[01:45:10.000 --> 01:45:12.640]  And he mentioned even, you know, a fine wine.
[01:45:12.640 --> 01:45:13.360]  You know what I mean?
[01:45:13.360 --> 01:45:20.480]  These are all things that you young guys and anyone, myself, old guys, like, you know,
[01:45:20.480 --> 01:45:23.760]  I always care for my trichomes and I tend to them.
[01:45:23.760 --> 01:45:28.480]  But when you hear guys like B. Leaf came on and was saying the same thing, and you got
[01:45:28.480 --> 01:45:29.920]  Duke saying the same thing.
[01:45:29.920 --> 01:45:34.880]  And then, you know, I say it and everyone says the value of what you're growing is trichomes.
[01:45:35.920 --> 01:45:36.960]  Gotta be gentle, man.
[01:45:36.960 --> 01:45:38.000]  Don't squeeze shit.
[01:45:38.000 --> 01:45:39.280]  Don't come in my, bro.
[01:45:39.280 --> 01:45:40.160]  Don't touch shit.
[01:45:40.160 --> 01:45:41.680]  Don't squeeze nothing.
[01:45:41.680 --> 01:45:45.200]  If you want to, we can grab you one from down low, like Duke said.
[01:45:46.640 --> 01:45:51.360]  But yeah, just in general, guys, you know, those are kind of what I took from what Duke
[01:45:51.360 --> 01:45:52.480]  says so far, man.
[01:45:52.480 --> 01:45:56.400]  And I think that it's valid stuff, 100%.
[01:45:58.400 --> 01:46:01.440]  Well, and again, what does the end product look like?
[01:46:01.440 --> 01:46:03.520]  The artwork, you know, you mentioned B. Leaf.
[01:46:03.520 --> 01:46:05.040]  That guy's on a whole nother level.
[01:46:05.040 --> 01:46:08.240]  And I feel like he's just coming out with hit after hit, you know.
[01:46:09.200 --> 01:46:10.400]  And Duke's the same way.
[01:46:10.720 --> 01:46:14.960]  There's just so many people out there that do put in the work.
[01:46:14.960 --> 01:46:19.440]  And then because maybe they don't give a fuck about Instagram, and that's unfortunately,
[01:46:19.440 --> 01:46:21.920]  basically, where everybody is at this point.
[01:46:21.920 --> 01:46:26.320]  There's been other apps that even tried to have a community.
[01:46:26.320 --> 01:46:30.400]  One here in Denver known as Mass Roots and, you know, mismanagement, not having enough
[01:46:30.400 --> 01:46:30.720]  funds.
[01:46:31.520 --> 01:46:36.000]  That killed that whole little side, hopefully side industry that I thought that would be
[01:46:36.000 --> 01:46:38.000]  social media where people could show things.
[01:46:38.960 --> 01:46:41.360]  Mass Roots really started to take off like the first year or two.
[01:46:42.240 --> 01:46:47.600]  But I guess at the end of the day, to host all that information as things started to
[01:46:47.600 --> 01:46:53.520]  grow, it's just astronomical what it costs to maintain that kind of stuff.
[01:46:53.520 --> 01:47:00.080]  And so here we are back to Instagram, where I feel like everybody doesn't really want
[01:47:00.080 --> 01:47:03.200]  to be on there anymore, myself included.
[01:47:03.200 --> 01:47:07.440]  I mean, it's just it's a necessary evil because of it's effective.
[01:47:07.440 --> 01:47:08.800]  That's where everybody's at.
[01:47:09.600 --> 01:47:15.360]  Yeah, man, it's the grams, you know, I love sharing the content, man.
[01:47:15.360 --> 01:47:18.160]  I love all the guys I've met along on there.
[01:47:19.360 --> 01:47:21.680]  It's just it's like a gift and a curse.
[01:47:21.680 --> 01:47:27.360]  Like, I love that I've grown from just my first post was probably about a bird sitting
[01:47:27.360 --> 01:47:29.840]  on my fence in my backyard a few years ago.
[01:47:29.840 --> 01:47:32.320]  And I love that I've grown and increased the followers.
[01:47:33.040 --> 01:47:38.080]  But I think the guys you guys got to understand that folks that are that are, you know, we're
[01:47:38.080 --> 01:47:44.960]  teaching, it's difficult to get hit with a lot of questions that we say over and over
[01:47:44.960 --> 01:47:45.440]  and over.
[01:47:45.440 --> 01:47:48.240]  And that's where we you know, I want you to meet me halfway.
[01:47:48.240 --> 01:47:48.800]  You know what I mean?
[01:47:49.440 --> 01:47:51.120]  I take time to put all this shit out here.
[01:47:51.840 --> 01:47:53.920]  Do puts time, time, putting stuff out there.
[01:47:53.920 --> 01:47:55.760]  Everyone's taking their time to put it out there.
[01:47:55.760 --> 01:48:01.040]  So, you know, maybe instead of just immediately if the guy gives you a tidbit and you don't
[01:48:01.040 --> 01:48:03.280]  know about it, maybe go search it first.
[01:48:03.280 --> 01:48:04.160]  You don't have to.
[01:48:04.160 --> 01:48:05.760]  He's dropped you the knowledge, right?
[01:48:05.760 --> 01:48:07.200]  He gave you the seed.
[01:48:07.200 --> 01:48:10.480]  So you don't necessarily have to go right back to that guy and say, well, can I also
[01:48:10.480 --> 01:48:12.160]  have some water for my seed?
[01:48:12.160 --> 01:48:14.000]  You know, go outside of him now.
[01:48:14.000 --> 01:48:15.280]  Start seeking shit out.
[01:48:15.280 --> 01:48:18.640]  I told you, aloe, honey and cinnamon.
[01:48:19.520 --> 01:48:20.080]  Look it up.
[01:48:20.880 --> 01:48:21.600]  You know what I mean?
[01:48:21.600 --> 01:48:23.120]  Don't trust what I say.
[01:48:23.120 --> 01:48:23.760]  You know what I mean?
[01:48:23.760 --> 01:48:28.880]  Don't don't put your whole grow on my what I say, you know, take a piece of what I say
[01:48:28.880 --> 01:48:29.520]  and try it.
[01:48:29.520 --> 01:48:30.800]  Say, oh, shit, that works.
[01:48:31.360 --> 01:48:32.000]  I'm going to do it more.
[01:48:32.000 --> 01:48:34.800]  You know, and that goes for everybody out there, guys.
[01:48:34.800 --> 01:48:37.600]  There's a lot of guys making a lot of claims out here.
[01:48:38.320 --> 01:48:43.680]  And there's a lot of younger folks who think that because this guy in this position is
[01:48:43.680 --> 01:48:49.280]  making this claim that it must be valid and it must be something that I need to put my
[01:48:49.280 --> 01:48:52.880]  money into or my, you know, or buy or whatever.
[01:48:53.600 --> 01:48:57.440]  But I just encourage everybody, man, research that stuff, man.
[01:48:57.440 --> 01:49:03.200]  If a guy is OK, we've got a million followers and he's doing something, read and research
[01:49:03.200 --> 01:49:06.000]  what happens if you do this in soil.
[01:49:06.000 --> 01:49:07.840]  How does this affect plants?
[01:49:08.400 --> 01:49:13.040]  And then and then dig deep into it, man, and seek that knowledge and even question the
[01:49:13.040 --> 01:49:16.240]  person, say, man, why do you you know, why do you say this works?
[01:49:17.040 --> 01:49:23.600]  You know, but our industry will get stronger when everyone is held accountable and called
[01:49:23.600 --> 01:49:24.480]  out on bullshit.
[01:49:24.480 --> 01:49:30.320]  And then also everyone gets back to that, you know, help helping out like we're doing
[01:49:30.320 --> 01:49:31.040]  on this show.
[01:49:31.040 --> 01:49:35.440]  So when you guys hear someone on the show, share it, you know, and share the show if
[01:49:35.440 --> 01:49:37.760]  you like it and if you think we're spreading good knowledge.
[01:49:38.960 --> 01:49:45.120]  I think our community is kind of like like comedy people when sometimes people steal
[01:49:45.120 --> 01:49:48.240]  jokes and individuals don't want to call that out.
[01:49:49.040 --> 01:49:55.200]  And then maybe our industry needs to have the Joe Rogan, Carlos Mencia moment where
[01:49:55.200 --> 01:49:59.360]  he is called out and then people find out what behind the scenes, what is going around.
[01:49:59.360 --> 01:50:07.280]  So, yeah, man, it is kind of silly what some what some people are getting away with within
[01:50:07.280 --> 01:50:08.000]  the community.
[01:50:08.000 --> 01:50:12.960]  So just again, shout out to Duke, shout out to people that continue to come on here.
[01:50:13.920 --> 01:50:17.280]  You know, there's probably a million things that he would love to be doing.
[01:50:17.280 --> 01:50:23.120]  He's stuck at a halfway house, but he's still going out of his way to continue to
[01:50:23.120 --> 01:50:29.200]  give back to the community, which, again, I feel like is that's a rare individual.
[01:50:29.200 --> 01:50:34.960]  You know, it's a rare breed that people conduct themselves the way that that Duke
[01:50:34.960 --> 01:50:41.200]  does from when you meet him two years ago or whenever to now.
[01:50:41.760 --> 01:50:44.960]  You know, I was able to meet him in 2018.
[01:50:44.960 --> 01:50:49.840]  He still talks the same way, you know, but on the forums and stuff, I feel like you would
[01:50:49.840 --> 01:50:51.600]  known him for for years on end.
[01:50:51.600 --> 01:50:58.880]  He's he's one of those that was on there as well, giving away knowledge extremely freely
[01:50:58.880 --> 01:51:03.360]  because he was the one that was also talking about grocery stores, especially in the forums.
[01:51:03.360 --> 01:51:06.640]  I felt like sometimes there are people, but behind the scenes they would talk about products,
[01:51:07.600 --> 01:51:09.920]  you know, granted, they're just trying to help out.
[01:51:09.920 --> 01:51:14.560]  But at the same time, for the ones that want to learn to grow like more like a living soil,
[01:51:14.560 --> 01:51:21.680]  especially at that point at your career, you don't really want the training wheels of the
[01:51:21.680 --> 01:51:22.560]  bottles anymore.
[01:51:22.560 --> 01:51:27.440]  Like you're almost willing to kind of fuck up or maybe have some deficiencies as long as you
[01:51:27.440 --> 01:51:29.200]  feel like you got the playbook.
[01:51:29.200 --> 01:51:29.440]  Right.
[01:51:29.440 --> 01:51:33.520]  So we're not throwing we're not throwing like 100 percent completion passes.
[01:51:33.520 --> 01:51:39.040]  But at the same time, you know, if we're out there, 90, 95 percent, we have a extremely
[01:51:39.040 --> 01:51:45.680]  viable business or extremely viable medicine, medicinal aspect to add to our family and
[01:51:45.680 --> 01:51:46.400]  friends.
[01:51:46.400 --> 01:51:49.280]  That is a skill set that I hope we all.
[01:51:50.080 --> 01:51:55.440]  Hell yeah, brother is a skill set that I hope that that we all continue to pass on and give
[01:51:55.440 --> 01:52:02.560]  to others, because if we're not farming medicinal cannabis and the in the large companies are
[01:52:02.560 --> 01:52:07.680]  just going to continue to pump out the booth and everyone's only concerned about, you know,
[01:52:07.680 --> 01:52:12.720]  price, that doesn't make sense to me, because some of the people that talk about how important
[01:52:12.720 --> 01:52:15.120]  nutrition is, I know that they don't smoke that way.
[01:52:15.120 --> 01:52:17.280]  Or if you have a family, I know that it's hard.
[01:52:17.280 --> 01:52:18.720]  It's extremely hard to smoke.
[01:52:18.720 --> 01:52:25.440]  So, Duke, now that you're back, buddy, hopefully we can really rock, you know, rock with you on
[01:52:25.440 --> 01:52:31.120]  a variety of different subjects, because there's just a few other things that I wanted to talk
