[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[01:50:49.530 --> 01:50:50.850]  Unfortunately, no.
[01:50:52.090 --> 01:50:55.850]  I got to say that I really enjoyed the last five years
[01:50:55.850 --> 01:50:59.650]  I got prosecuted because I was with Tony every time.
[01:50:59.650 --> 01:51:02.410]  And I felt like it was like,
[01:51:02.410 --> 01:51:04.170]  like I had a little diamonds of life.
[01:51:04.170 --> 01:51:08.010]  He's such a incredibly sincere and talented
[01:51:08.050 --> 01:51:09.410]  and considerate person.
[01:51:09.410 --> 01:51:11.410]  And it just was nice to be in his shadow.
[01:51:11.410 --> 01:51:13.370]  And like, I, after five years in prison,
[01:51:13.370 --> 01:51:14.570]  I don't want to sound like an ass,
[01:51:14.570 --> 01:51:17.810]  but I wasn't really worried about going to jail
[01:51:17.810 --> 01:51:19.890]  for a little while in California for growing weed.
[01:51:19.890 --> 01:51:21.650]  So it was like, whatever trial.
[01:51:21.650 --> 01:51:22.610]  Yeah, I don't want to hear it.
[01:51:22.610 --> 01:51:26.490]  You know, like, you know, so I don't know.
[01:51:26.490 --> 01:51:27.450]  Tony's awesome.
[01:51:27.450 --> 01:51:30.090]  If ever you get in trouble and Tony could be your attorney,
[01:51:30.090 --> 01:51:32.170]  if he'll take your case, do it.
[01:51:32.170 --> 01:51:33.290]  It's a good time.
[01:51:35.730 --> 01:51:37.210]  He's taking cases now.
[01:51:37.250 --> 01:51:38.890]  I'm doing a case with him.
[01:51:38.890 --> 01:51:40.050]  Yeah.
[01:51:40.050 --> 01:51:44.810]  So a while ago, somebody said a lot of talk.
[01:51:44.810 --> 01:51:46.530]  What's the solution?
[01:51:47.450 --> 01:51:52.450]  So can you guys talk about what you would like to see change?
[01:51:53.170 --> 01:51:57.250]  So Jackson in Mendocino.
[01:51:57.250 --> 01:51:59.810]  I also heard people say, I want to hear more from Jackson.
[01:51:59.810 --> 01:52:00.650]  Yes.
[01:52:03.300 --> 01:52:05.860]  For me, a solution.
[01:52:05.860 --> 01:52:08.820]  Jeez, man, let's just pick one guy
[01:52:08.820 --> 01:52:10.300]  and he'll just fix it all.
[01:52:10.300 --> 01:52:11.460]  This'll be real easy.
[01:52:13.140 --> 01:52:21.460]  That's a pretty nuanced conversation, I think.
[01:52:24.060 --> 01:52:28.500]  I don't really know what the solution would be.
[01:52:30.460 --> 01:52:33.780]  I just see it from the big picture perspective
[01:52:33.780 --> 01:52:37.860]  of looking at it like this is all the remnants
[01:52:37.860 --> 01:52:42.340]  of the drug war, which in the first place
[01:52:42.340 --> 01:52:47.220]  was never a logical thing to start.
[01:52:47.220 --> 01:52:51.380]  And now we have the realization, I think,
[01:52:51.380 --> 01:52:54.140]  by most of the world that there's been a lot
[01:52:54.140 --> 01:52:57.700]  of crazy classism, racial injustice,
[01:52:57.700 --> 01:53:00.660]  and the drug war is kind of, to me,
[01:53:00.660 --> 01:53:03.980]  like the pinnacle of all that.
[01:53:04.020 --> 01:53:08.700]  And I don't know how to fix it,
[01:53:08.700 --> 01:53:10.980]  but I know that if you look at it from that perspective
[01:53:10.980 --> 01:53:12.380]  and you realize that the whole thing
[01:53:12.380 --> 01:53:14.540]  was totally bullshit from the start,
[01:53:14.540 --> 01:53:19.540]  the fact that they make us buy into this new concept
[01:53:19.900 --> 01:53:24.580]  of how everything is, it seems, like I said before,
[01:53:24.580 --> 01:53:25.780]  it seems pretty fucked.
[01:53:31.060 --> 01:53:33.140]  All the fees and everything, like Todd was saying,
[01:53:33.140 --> 01:53:34.820]  Todd raised a lot of good points.
[01:53:36.780 --> 01:53:38.540]  But I mean, you look at it like,
[01:53:38.540 --> 01:53:40.220]  okay, people who wanna produce weed,
[01:53:40.220 --> 01:53:43.340]  like I myself, I don't believe that at the quality
[01:53:43.340 --> 01:53:47.100]  of weed that my friends, I have friends who buy weed
[01:53:47.100 --> 01:53:50.620]  for me, they grow weed, but they wanna smoke my weed.
[01:53:50.620 --> 01:53:51.700]  They don't wanna smoke their weed.
[01:53:51.700 --> 01:53:54.420]  They grow a lot of weed, I don't grow as much weed.
[01:53:54.420 --> 01:53:57.700]  If I grow more than a few hundred pounds a year,
[01:53:58.780 --> 01:54:01.140]  maybe that only costs me a few thousand dollars,
[01:54:01.140 --> 01:54:05.340]  it takes me all my time to be able to do that.
[01:54:06.820 --> 01:54:08.260]  That's all my focus.
[01:54:08.260 --> 01:54:10.340]  Now, if I'm gonna sell that for two or three times
[01:54:10.340 --> 01:54:14.460]  what it costs me to do that, and if I grow organic
[01:54:14.460 --> 01:54:17.820]  and I own my own property, it's only costing me
[01:54:19.420 --> 01:54:21.180]  this little amount, then I'm gonna get two
[01:54:21.180 --> 01:54:25.500]  or three times that, I don't see how that is gonna keep me
[01:54:26.620 --> 01:54:28.300]  even buying food and gas.
[01:54:28.300 --> 01:54:33.020]  So, there's a lot of nuance to the way
[01:54:33.020 --> 01:54:35.740]  the whole thing works and adding those fees on there
[01:54:35.740 --> 01:54:36.700]  is crazy.
[01:54:36.700 --> 01:54:41.180]  And there is a $10 tax on an ounce at this point
[01:54:41.180 --> 01:54:42.060]  and all this shit.
[01:54:42.060 --> 01:54:47.060]  And it seems like there doesn't need to be
[01:54:47.340 --> 01:54:49.620]  any additional taxes or anything on there.
[01:54:52.100 --> 01:54:57.100]  The fact that the weed economy feeds California so much
[01:54:58.620 --> 01:55:01.660]  seems like it would be good enough that everybody's adding
[01:55:01.660 --> 01:55:04.900]  in tons of money and then paying income and sales taxes,
[01:55:04.900 --> 01:55:06.780]  all these other fees and all this other bullshit.
[01:55:06.780 --> 01:55:08.900]  I think that needs to go away.
[01:55:08.900 --> 01:55:11.100]  And I think that would help a lot.
[01:55:11.100 --> 01:55:13.860]  And then other than that, like I said,
[01:55:13.860 --> 01:55:17.820]  as far as the regulations, things shouldn't be illegal
[01:55:17.820 --> 01:55:19.300]  just because they're related to weed.
[01:55:19.300 --> 01:55:21.660]  That's part of the drug war policy
[01:55:21.660 --> 01:55:25.060]  that is like a remnant of stigma
[01:55:25.060 --> 01:55:26.980]  that doesn't seem to make any sense.
[01:55:27.060 --> 01:55:32.060]  And so, I think the fact that weed is getting lumped
[01:55:34.700 --> 01:55:39.380]  into this category with things that are dangerous
[01:55:39.380 --> 01:55:44.380]  and the only real danger there that is coming from weed
[01:55:45.700 --> 01:55:49.660]  in and of itself is really, like they say,
[01:55:49.660 --> 01:55:52.500]  the only thing dangerous about weed is getting busted.
[01:55:52.500 --> 01:55:56.220]  And at this point beyond getting busted,
[01:55:56.220 --> 01:55:58.940]  like Todd said, it's not a felony anymore.
[01:55:58.940 --> 01:56:00.820]  You're not gonna go to jail for going weed.
[01:56:00.820 --> 01:56:01.660]  That's great.
[01:56:01.660 --> 01:56:04.020]  That's a good thing that came with 64.
[01:56:05.620 --> 01:56:09.060]  But as far as all this other stuff,
[01:56:09.060 --> 01:56:11.500]  it seems like it's just hanging around
[01:56:11.500 --> 01:56:13.580]  and it needs to be streamlined.
[01:56:13.580 --> 01:56:15.700]  And I don't know exactly how to make that happen,
[01:56:15.700 --> 01:56:19.100]  but I do know that when you look at the way
[01:56:19.100 --> 01:56:23.300]  the government views things, they're thinking,
[01:56:23.300 --> 01:56:27.340]  okay, there's a funny thing that happens.
[01:56:27.340 --> 01:56:28.460]  The government looks at it
[01:56:28.460 --> 01:56:30.580]  as how much money goes to the government
[01:56:30.580 --> 01:56:32.460]  and that'll help the people.
[01:56:32.460 --> 01:56:34.820]  But that is another strange version
[01:56:34.820 --> 01:56:37.060]  of trickle-down economics.
[01:56:37.060 --> 01:56:41.780]  In reality, you should be able to look and recognize
[01:56:41.780 --> 01:56:45.460]  that if the people have money, then the people have money.
[01:56:45.460 --> 01:56:50.300]  A good economy is based on everybody making more money.
[01:56:50.300 --> 01:56:53.700]  So if you enable everyone to make more money,
[01:56:53.700 --> 01:56:55.860]  then everybody else makes more money.
[01:56:55.860 --> 01:57:00.860]  I went to New York in 2009, right after that big crash,
[01:57:04.300 --> 01:57:09.300]  and we rode in a taxi with a guy and we said,
[01:57:09.300 --> 01:57:10.460]  yeah, it's pretty dead out here.
[01:57:10.460 --> 01:57:14.100]  And he goes, yeah, well, there's not a lot of money.
[01:57:14.100 --> 01:57:15.180]  And we were in the mountains.
[01:57:15.180 --> 01:57:17.900]  We didn't really understand what it was like there.
[01:57:17.900 --> 01:57:22.900]  And he said, you know what happens is I drive this cab
[01:57:23.300 --> 01:57:27.900]  and I get fares because people have money to pay me.
[01:57:27.900 --> 01:57:29.380]  When people don't pay me,
[01:57:30.740 --> 01:57:35.740]  then I don't go to buy as much new clothes at the shop.
[01:57:36.820 --> 01:57:39.100]  And those people don't make as much money
[01:57:39.100 --> 01:57:41.140]  so they don't go to the restaurant.
[01:57:41.140 --> 01:57:43.100]  And the people who are on the restaurant
[01:57:43.100 --> 01:57:46.940]  don't make as much money so they don't come get a cab.
[01:57:46.940 --> 01:57:50.100]  And all of us just continually get broker and broker.
[01:57:50.100 --> 01:57:51.820]  And that's kind of the problem that's happening
[01:57:51.820 --> 01:57:54.700]  with everything that's going on.
[01:57:54.700 --> 01:57:59.700]  And I've said before, it's not intentional,
[01:58:01.500 --> 01:58:03.700]  but it's a form of economic assassination.
[01:58:03.700 --> 01:58:08.380]  It's something that world powers would do
[01:58:08.380 --> 01:58:12.300]  to undermine the economy of foreign nations
[01:58:12.300 --> 01:58:14.940]  so that they can gain control.
[01:58:14.940 --> 01:58:16.820]  And they're doing it to us
[01:58:19.700 --> 01:58:22.820]  without even doing it intentionally as far as I can tell.
[01:58:22.820 --> 01:58:26.380]  And so a lot of it to me,
[01:58:26.380 --> 01:58:29.300]  it's at this point is the economics of it.
[01:58:29.300 --> 01:58:34.300]  And that's kind of the best I can really say about it
[01:58:34.420 --> 01:58:37.060]  is that that kind of stuff needs to be straightened out.
[01:58:37.060 --> 01:58:42.060]  And they're not concepts that are only endemic
[01:58:43.060 --> 01:58:44.780]  to the weed space.
[01:58:44.780 --> 01:58:48.420]  It kind of relates to everything.
[01:58:48.420 --> 01:58:53.420]  And it's a global problem with economic colonialization.
[01:58:56.100 --> 01:58:59.980]  And it's happening to us in a weird roundabout way.
[01:58:59.980 --> 01:59:02.940]  And I think it's undermining everything.
[01:59:02.940 --> 01:59:05.540]  And at this point, people can see how important it is
[01:59:05.540 --> 01:59:06.500]  to our economy.
[01:59:06.500 --> 01:59:09.500]  People can see that, okay, we're calling this essential
[01:59:09.500 --> 01:59:11.740]  and in the lockdown, this is obviously something
[01:59:12.420 --> 01:59:13.500]  that's accepted.
[01:59:15.500 --> 01:59:17.060]  And it's still getting the stigma
[01:59:17.060 --> 01:59:20.780]  of being this dangerous toxin that we need to keep
[01:59:20.780 --> 01:59:22.340]  out of the hands of everybody.
[01:59:22.340 --> 01:59:26.580]  And as Omar was saying earlier,
[01:59:29.500 --> 01:59:34.300]  you have a liquor store and how is the liquor packaged?
[01:59:34.300 --> 01:59:39.100]  It's in a glass bottle with a tamper evident lid.
[01:59:39.220 --> 01:59:42.940]  And I feel like if we had jars with tamper evident lids
[01:59:42.940 --> 01:59:45.780]  on them so you know that they haven't been opened before,
[01:59:45.780 --> 01:59:46.620]  that's all good.
[01:59:46.620 --> 01:59:48.220]  But instead, what are we doing?
[01:59:48.220 --> 01:59:49.900]  What's the worldwide problem?
[01:59:49.900 --> 01:59:52.540]  One of the big worldwide problems, plastic pollution.
[01:59:52.540 --> 01:59:54.020]  We're feeding into that.
[01:59:54.020 --> 01:59:59.020]  So we're undermining the economy while at the same time,
[02:00:00.300 --> 02:00:02.020]  undermining the environment.
[02:00:02.020 --> 02:00:05.180]  And these are our big problems, local and global.
[02:00:05.220 --> 02:00:09.460]  And they're being exasperated by these stupid policies
[02:00:09.460 --> 02:00:14.460]  that are put in place by this bullshit bureaucracy.
[02:00:14.980 --> 02:00:19.620]  And I don't see it as being sustainable.
[02:00:19.620 --> 02:00:23.580]  And it's a bummer because you're basically taking something
[02:00:23.580 --> 02:00:28.580]  that could be the savior of a lot of situations.
[02:00:29.220 --> 02:00:32.500]  And you're turning it into something that is just
[02:00:33.460 --> 02:00:38.460]  either neutral or in some ways it's harmful
[02:00:38.860 --> 02:00:42.260]  because there was already something that was operating
[02:00:42.260 --> 02:00:47.260]  on a higher level being dumbed down to this bullshit.
[02:00:47.540 --> 02:00:51.020]  And typically when things become mainstreamed,
[02:00:51.020 --> 02:00:55.620]  they lose some of their luster and their value.
[02:00:55.620 --> 02:00:58.860]  And this was something that could have really been elevated
[02:00:58.860 --> 02:01:02.140]  and it's getting fucked up.
[02:01:02.140 --> 02:01:07.140]  So those are the things that I can see
[02:01:08.900 --> 02:01:11.700]  that could be influenced in a positive way
[02:01:11.700 --> 02:01:12.940]  that might make a change.
[02:01:12.940 --> 02:01:17.260]  And maybe at a different time,
[02:01:17.260 --> 02:01:18.580]  I'd have other thoughts about it
[02:01:18.580 --> 02:01:22.340]  that might be more useful or articulate.
[02:01:22.340 --> 02:01:25.060]  But at this point, those are the things that I can see
[02:01:25.060 --> 02:01:29.820]  right off that are just sticking out like a big red flag
[02:01:29.820 --> 02:01:34.220]  where it's like, you guys being the bureaucracy
[02:01:34.220 --> 02:01:37.300]  and the government are just fucking everything up.
[02:01:37.300 --> 02:01:42.140]  And if there was a way to remedy those things,
[02:01:43.140 --> 02:01:44.060]  it would be a lot better.
[02:01:44.060 --> 02:01:48.260]  And also giving people access to be able to take part,
[02:01:48.260 --> 02:01:50.340]  you have people already doing this.
[02:01:50.340 --> 02:01:53.860]  And I know people who have been doing it forever.
[02:01:54.500 --> 02:01:59.500]  It's like Todd mentioned the greenhouses
[02:02:00.460 --> 02:02:01.860]  and how, oh, if it was hemp
