[00:28.410 --> 00:31.650]  How's it going, everybody?
[01:24:49.490 --> 01:24:54.490]  There's companies that produce just to sell to other seed companies that pop up overnight that want to sell their seed.
[01:24:55.490 --> 01:24:59.490]  And then there's seeds in souvenir shops all over, you know, that aren't even real companies.
[01:25:00.490 --> 01:25:03.490]  But you see a lot of small breeders pop up also here.
[01:25:04.490 --> 01:25:07.490]  You know, that's the nice part with all this American culture that is coming to Europe.
[01:25:08.490 --> 01:25:15.490]  Is that a lot of people, like I was saying before, are buying those, I think it's like 500 packs, $500 packs, you know.
[01:25:16.490 --> 01:25:18.490]  Which when I was starting growing, it was crazy prices.
[01:25:19.490 --> 01:25:22.490]  Never I would have thought that you could see cannabis seeds at this price, you know.
[01:25:23.170 --> 01:25:26.170]  They invest real money in it and they make real crosses, you know.
[01:25:27.170 --> 01:25:28.170]  And they don't plan on becoming big or whatever.
[01:25:29.170 --> 01:25:30.170]  They're just doing their small breeding project.
[01:25:31.170 --> 01:25:32.170]  They sell a few thousand seeds.
[01:25:33.170 --> 01:25:34.170]  They're happy.
[01:25:35.170 --> 01:25:36.170]  And I think that's really nice.
[01:25:37.170 --> 01:25:38.170]  That's the whole thing about cannabis.
[01:25:39.170 --> 01:25:40.170]  You know, you don't have to be big or what.
[01:25:41.170 --> 01:25:42.170]  Just love the plants.
[01:25:43.170 --> 01:25:44.170]  Then you can do whatever you want.
[01:25:45.170 --> 01:25:48.170]  Yeah, I think people are, we get all these people that are like, oh man, that's crazy.
[01:25:49.170 --> 01:25:50.170]  $500 a pack.
[01:25:50.850 --> 01:25:51.850]  $100 for a 10 pack of seeds is a little crazy.
[01:25:52.850 --> 01:25:56.850]  But at the end of the day, seeds are worth whatever people will pay for them.
[01:25:57.850 --> 01:26:02.850]  So, you know, whether it's $100 a pack, $200, it's worth whatever people will pay for them.
[01:26:03.850 --> 01:26:05.850]  If they're not worth it, people won't pay it.
[01:26:06.850 --> 01:26:08.850]  So, you know, that's up to the consumer at the end of the day.
[01:26:09.850 --> 01:26:11.850]  Look, they're selling Pokemon Caps for $200k now.
[01:26:12.850 --> 01:26:13.850]  So, what can I say?
[01:26:16.850 --> 01:26:17.850]  Some things are going crazy.
[01:26:18.850 --> 01:26:19.850]  Yeah, $200,000.
[01:26:20.850 --> 01:26:21.850]  For a Pokemon Cap.
[01:26:22.850 --> 01:26:23.850]  It's good.
[01:26:24.850 --> 01:26:25.850]  Oh, yeah, it's nuts.
[01:26:26.850 --> 01:26:27.850]  That's just nuts.
[01:26:28.850 --> 01:26:29.850]  But then it's like, what is that worth?
[01:26:30.850 --> 01:26:34.850]  If somebody pays that much money, are they able to translate it into more than what that's worth?
[01:26:35.850 --> 01:26:36.850]  I don't know.
[01:26:37.850 --> 01:26:38.850]  It's worth what you pay for it.
[01:26:40.850 --> 01:26:42.850]  So, we've had some interesting talk about cat piss.
[01:26:43.850 --> 01:26:44.850]  I don't know if you guys ever remember.
[01:26:45.850 --> 01:26:46.850]  In Europe, there was cat piss haze.
[01:26:47.530 --> 01:26:52.530]  I think I'd smoked some A5, actually, at a strain hunters club in maybe 2010.
[01:26:53.530 --> 01:26:57.530]  And it's the closest I've come to the real cat piss that we had in the Bay Area in the last 20 years.
[01:26:58.530 --> 01:26:59.530]  But it's been a big topic on my show, is the cat piss.
[01:27:00.530 --> 01:27:03.530]  Do you guys have any stories about the cat piss haze or cat piss genetics?
[01:27:04.530 --> 01:27:07.530]  Well, that's how they used to call the weed in the early 90s.
[01:27:08.530 --> 01:27:09.530]  Dutch people were smoking hash.
[01:27:10.530 --> 01:27:11.530]  They all said it smells like cat piss.
[01:27:12.530 --> 01:27:13.530]  That's why we don't smoke it.
[01:27:14.210 --> 01:27:15.210]  That was a Dutch thing here.
[01:27:16.210 --> 01:27:19.210]  That's what we already, when we liked, we really liked whatever.
[01:27:20.210 --> 01:27:21.210]  Even skunk, they called cat piss.
[01:27:22.210 --> 01:27:23.210]  They called everything cat piss.
[01:27:24.210 --> 01:27:27.210]  That's where the name in Amsterdam originated from, you know.
[01:27:28.210 --> 01:27:31.210]  But it was the hashish smokers who called weed cat piss.
[01:27:32.210 --> 01:27:33.210]  Yeah, it's so funny.
[01:27:34.210 --> 01:27:35.210]  There's a clone in Spain also.
[01:27:36.210 --> 01:27:39.210]  I think it was a Super Lemon selection when we opened in the beginning.
[01:27:40.210 --> 01:27:41.210]  A lot of people used to do it.
[01:27:41.890 --> 01:27:43.890]  It was clearly like smelling like cat piss.
[01:27:44.890 --> 01:27:47.890]  And most of the people that described it when they were smelling it
[01:27:48.890 --> 01:27:49.890]  would describe it as cat piss also.
[01:27:50.890 --> 01:27:53.890]  Yeah, the A5 has some real pissiness to it.
[01:27:54.890 --> 01:27:56.890]  That real ammonia, strong on the ammonia.
[01:27:57.890 --> 01:28:00.890]  And it's funny because there's this big argument in the Bay Area,
[01:28:01.890 --> 01:28:03.890]  not even the Bay Area, but just in the United States about cat piss,
[01:28:04.890 --> 01:28:05.890]  where it came from, who originated it.
[01:28:06.890 --> 01:28:08.890]  And we got 10 people claiming that they created the cat piss.
[01:28:09.570 --> 01:28:11.570]  And while I do believe they created a cat piss,
[01:28:12.570 --> 01:28:14.570]  I don't believe they created the cat piss.
[01:28:15.570 --> 01:28:16.570]  There's the San Diego cat piss.
[01:28:17.570 --> 01:28:19.570]  We're going to credit Tom to the San Diego cat piss.
[01:28:20.570 --> 01:28:23.570]  But it's so funny because it's a terpene profile.
[01:28:24.570 --> 01:28:26.570]  And there's been this huge piss off on my show
[01:28:27.570 --> 01:28:30.570]  where people are arguing about the cat piss and the origination,
[01:28:31.570 --> 01:28:32.570]  where it came from.
[01:28:33.570 --> 01:28:36.570]  Then we see people saying it's gross that nobody wants to smoke cat piss.
[01:28:37.250 --> 01:28:38.250]  It's definitely acquired taste.
[01:28:39.250 --> 01:28:41.250]  Yeah, every time I smell it, it's definitely accurate.
[01:28:42.250 --> 01:28:45.250]  I get a cat piss comment at least every single show since that show.
[01:28:46.250 --> 01:28:49.250]  Not even a James Loud show, just in the chat.
[01:28:51.250 --> 01:28:53.250]  But they did the cheetah piss, no?
[01:28:54.250 --> 01:28:55.250]  Also, I think I saw recently.
[01:28:56.250 --> 01:28:57.250]  Cheetah piss.
[01:28:58.250 --> 01:29:00.250]  Yeah, so cheetah piss, they say it's related to the cat piss,
[01:29:01.250 --> 01:29:02.250]  but it has a little ammonia.
[01:29:03.250 --> 01:29:05.250]  And I could agree, but I don't think it's the same.
[01:29:05.930 --> 01:29:10.930]  The Bay Area cat piss was the skunkiest and pissiest smelling weed.
[01:29:11.930 --> 01:29:15.930]  It had ammonia with skunk, and one little tenth of a gram
[01:29:16.930 --> 01:29:17.930]  would smell your whole house up.
[01:29:18.930 --> 01:29:19.930]  Like a little piece on your shirt walking in.
[01:29:20.930 --> 01:29:21.930]  And I was in high school at the time.
[01:29:22.930 --> 01:29:25.930]  My parents would think I was crazy because it would be real stinky.
[01:29:28.930 --> 01:29:32.930]  It's interesting, these stories and these varieties.
[01:29:33.610 --> 01:29:36.610]  Yeah, here I would rate it more to haze and smells.
[01:29:37.610 --> 01:29:39.610]  Every time I had this feeling of cat piss,
[01:29:40.610 --> 01:29:42.610]  because I was not familiar with the strain itself.
[01:29:43.610 --> 01:29:46.610]  But every time I had that feeling, it was with some kind of haze crosses.
[01:29:47.610 --> 01:29:48.610]  Yeah.
[01:29:49.610 --> 01:29:50.610]  Who knows?
[01:29:51.610 --> 01:29:53.610]  So Husky asked,
[01:29:54.610 --> 01:29:59.610]  what is Aria or both your favorite smoke from your own library
[01:30:00.610 --> 01:30:02.610]  and one that you would recommend to your friends?
[01:30:03.610 --> 01:30:04.610]  And one pick from another breeder.
[01:30:05.610 --> 01:30:07.610]  For me, it's Exodus Cheese.
[01:30:08.610 --> 01:30:09.610]  Easy.
[01:30:10.610 --> 01:30:11.610]  For me, it's Hawaiian Snow.
[01:30:12.610 --> 01:30:15.610]  Maybe I'll make a Hawaiian Exodus then.
[01:30:16.610 --> 01:30:18.610]  Isn't that in the pipeline?
[01:30:19.610 --> 01:30:21.610]  No, Exodus with some other stuff, yeah.
[01:30:22.610 --> 01:30:23.610]  I'm working on some stuff.
[01:30:24.610 --> 01:30:26.610]  If I have to pick one from another breeder, I would say Cali Mist.
[01:30:27.610 --> 01:30:28.610]  Yeah, that's nice.
[01:30:29.610 --> 01:30:31.610]  And from another breeder.
[01:30:32.290 --> 01:30:34.290]  Yeah, Simon, he didn't put out a lot.
[01:30:35.290 --> 01:30:39.290]  He only put out a handful of genetics and they were all stable, true F1s.
[01:30:40.290 --> 01:30:41.290]  I mean, it's rare.
[01:30:42.290 --> 01:30:44.290]  You guys might know other true F1 breeders,
[01:30:45.290 --> 01:30:48.290]  but he's the only one that I know that is a real true F1 breeder
[01:30:49.290 --> 01:30:53.290]  that bred from land-raised varieties and created stable F1s.
[01:30:54.290 --> 01:30:55.290]  Yeah.
[01:30:56.290 --> 01:30:57.290]  Come again?
[01:30:58.290 --> 01:31:00.290]  So Simon, what he did is he took two land-raised varieties
[01:31:00.970 --> 01:31:02.970]  stable lines and created F1s
[01:31:03.970 --> 01:31:05.970]  and then took those F1s and created F1 hybrids
[01:31:06.970 --> 01:31:08.970]  creating like Cali Mist AK47.
[01:31:09.970 --> 01:31:11.970]  You know, you don't see that kind of breeding going on these days
[01:31:12.970 --> 01:31:14.970]  because those projects take years and years to perfect.
[01:31:15.970 --> 01:31:17.970]  Yeah, I think the Serious 6 was like six years, literally.
[01:31:18.970 --> 01:31:19.970]  Yeah.
[01:31:21.970 --> 01:31:23.970]  Now for the Overseed Bank, I would say Shoreline.
[01:31:24.970 --> 01:31:27.970]  Shoreline has been one of my favorite smokes from an Overseed Bank.
[01:31:28.650 --> 01:31:31.650]  So it's pretty funny because Shoreline, it's interesting
[01:31:32.650 --> 01:31:35.650]  because there's a Texas Shoreline, which is where it originally came from
[01:31:36.650 --> 01:31:37.650]  and I believe it's crossed.
[01:31:38.650 --> 01:31:41.650]  So the one that pops up in Amsterdam is like the Shoreline
[01:31:42.650 --> 01:31:44.650]  that's crossed with either the purple Urkel or lavender,
[01:31:45.650 --> 01:31:46.650]  maybe some is lavender or something like that.
[01:31:47.650 --> 01:31:48.650]  It does have a lavender touch, definitely.
[01:31:49.650 --> 01:31:50.650]  Yeah, and the one here is just straight skunk.
[01:31:51.650 --> 01:31:53.650]  It's as close to roadkill skunk as I believe you can get.
[01:31:54.650 --> 01:31:57.650]  You know, it's an interesting smoke, but kind of like a
[01:31:58.650 --> 01:32:02.650]  completely different from, if you say Shoreline in California or Texas
[01:32:03.650 --> 01:32:06.650]  and you say Shoreline in Amsterdam, it's two completely different varieties almost.
[01:32:07.650 --> 01:32:10.650]  Yeah, I guess the same would happen with the White Widow, no?
[01:32:11.650 --> 01:32:14.650]  Because we have been trying White Widow for so many years since the beginnings.
[01:32:15.650 --> 01:32:19.650]  It was one of the only weed that would come to France from Amsterdam since it started.
[01:32:20.650 --> 01:32:23.650]  And yeah, I guess we have different standards for some stuff, you know,
[01:32:24.650 --> 01:32:25.650]  but that's the good thing also about the weed.
[01:32:26.330 --> 01:32:27.330]  There's so many difference.
[01:32:28.330 --> 01:32:29.330]  Yeah.
[01:32:30.330 --> 01:32:33.330]  Yeah, it's funny because I think of White Widow as an example of something
[01:32:34.330 --> 01:32:37.330]  that people think of as vanilla, you know, and like you breed it with stuff
[01:32:38.330 --> 01:32:40.330]  and it makes strange vanilla, but like the real White Widow was not vanilla.
[01:32:41.330 --> 01:32:43.330]  The real White Widow was strong, amazing smoke.
[01:32:44.330 --> 01:32:45.330]  Yeah, I never had really vanilla.
[01:32:46.330 --> 01:32:49.330]  You could say it's floral, you know, and fruit in some cases,
[01:32:50.330 --> 01:32:52.330]  but I never really found a vanilla taste in it.
[01:32:53.010 --> 01:32:55.010]  Well, and I think what happens when you breed White Widow,
[01:32:56.010 --> 01:32:59.010]  because I think a lot of people used it as a pollinator for making seeds
[01:33:00.010 --> 01:33:03.010]  because it's so stable that it would take some genetics like OG Kush
[01:33:04.010 --> 01:33:06.010]  and it would get lost in the seeds.
[01:33:08.010 --> 01:33:10.010]  Yeah, it was a bit dominant.
[01:33:11.010 --> 01:33:13.010]  A lot of seed banks have been doing this for a while
[01:33:14.010 --> 01:33:15.010]  and they probably keep doing it.
[01:33:16.010 --> 01:33:17.010]  I don't know.
[01:33:18.010 --> 01:33:19.010]  But the problem is it's kind of neutral.
[01:33:20.010 --> 01:33:22.010]  Let's say when you breed it from a seed bank,
