[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[04:01:25.230 --> 04:01:26.230]  I think the biggest thing is that you're not afraid of the bugs.
[04:01:26.230 --> 04:01:27.230]  You're not afraid of the bugs.
[04:01:27.230 --> 04:01:28.230]  You're not afraid of the bugs.
[04:01:28.230 --> 04:01:29.230]  You're not afraid of the bugs.
[04:01:29.230 --> 04:01:30.230]  You're not afraid of the bugs.
[04:01:30.230 --> 04:01:31.230]  You're not afraid of the bugs.
[04:01:31.230 --> 04:01:32.230]  You're not afraid of the bugs.
[04:01:33.010 --> 04:01:48.030]  Yeah, so that was just something that we just took an avocado, cut it in eggs like a baked
[04:01:48.030 --> 04:01:49.030]  potato.
[04:01:49.030 --> 04:01:53.650]  Pop that avocado open, and then we stick that fleshy part into the soil system.
[04:01:53.650 --> 04:01:57.910]  Those composting worms are going to be attracted to the avocado.
[04:01:57.910 --> 04:02:00.970]  Composting worms are herpaphrodites, so as soon as they touch each other, they want to
[04:02:00.970 --> 04:02:01.970]  reproduce.
[04:02:01.970 --> 04:02:04.010]  the ways that we've given back to the people
[04:02:04.010 --> 04:02:06.090]  where they create compost and worms
[04:02:06.090 --> 04:02:07.690]  for literal pennies on the dollar
[04:02:07.690 --> 04:02:10.170]  compared to shipping them, how long it takes to do it.
[04:02:10.170 --> 04:02:11.290]  Yeah, awesome.
[04:02:11.290 --> 04:02:12.690]  That's great.
[04:02:12.690 --> 04:02:16.410]  I would say something really that we've been talking
[04:02:16.410 --> 04:02:18.610]  to a lot of people about today,
[04:02:18.610 --> 04:02:21.970]  it's not directly soil specific,
[04:02:21.970 --> 04:02:26.890]  but I'm really a proponent of using aerated,
[04:02:26.890 --> 04:02:30.890]  like either soil blocks or something like that for starts.
[04:02:30.890 --> 04:02:34.770]  I love transplanting not in hard side containers
[04:02:34.770 --> 04:02:36.530]  because of the root circling.
[04:02:36.530 --> 04:02:38.930]  I really love air pruned starts.
[04:02:38.930 --> 04:02:40.890]  And I feel like that gives me a good week
[04:02:40.890 --> 04:02:43.090]  and jump every time I transplant
[04:02:43.090 --> 04:02:44.850]  because the plant's just ready to go again.
[04:02:44.850 --> 04:02:49.850]  I'll transplant like soil blocks from one to another
[04:02:51.410 --> 04:02:55.010]  and see growth that afternoon instead of that kind of four,
[04:02:55.010 --> 04:02:57.770]  three to four to five day lag
[04:02:57.770 --> 04:02:59.930]  while a plant recovers from the shock
[04:02:59.970 --> 04:03:02.170]  of having its roots messed with.
[04:03:02.170 --> 04:03:03.530]  And I see people a lot of times
[04:03:03.530 --> 04:03:05.210]  just doing the craziest stuff with the roots,
[04:03:05.210 --> 04:03:08.010]  cutting the roots up and doing this and doing that.
[04:03:08.010 --> 04:03:10.530]  And I'm a huge proponent of leaving the roots
[04:03:10.530 --> 04:03:13.370]  as where they are and using your soil
[04:03:13.370 --> 04:03:17.410]  and either your pots or your blocks or something like that
[04:03:17.410 --> 04:03:20.290]  to make it easy and keep that plant healthy
[04:03:20.290 --> 04:03:22.050]  through the transplant.
[04:03:22.050 --> 04:03:25.370]  It buys you more time to do the transplant too.
[04:03:25.370 --> 04:03:27.090]  Like let's say you're behind,
[04:03:27.090 --> 04:03:29.130]  you can't get to it that day or whatever,
[04:03:29.170 --> 04:03:31.810]  your roots aren't just binding and binding and binding.
[04:03:31.810 --> 04:03:33.210]  If they're air pruned, all of a sudden,
[04:03:33.210 --> 04:03:35.690]  they're much more healthy for longer
[04:03:35.690 --> 04:03:37.170]  in that same size container.
[04:03:37.170 --> 04:03:38.210]  So that's what comes to mind
[04:03:38.210 --> 04:03:40.050]  after talking to several people today,
[04:03:40.050 --> 04:03:42.970]  but yeah, there are many great tips.
[04:03:42.970 --> 04:03:44.690]  And I've seen great stuff on your show,
[04:03:44.690 --> 04:03:45.770]  of course, in the past
[04:03:45.770 --> 04:03:47.790]  and really appreciate everything you do
[04:03:47.790 --> 04:03:49.490]  for the living soil community.
[04:03:49.490 --> 04:03:50.330]  Swear.
[04:03:50.330 --> 04:03:51.330]  So yeah, we're all out here
[04:03:51.330 --> 04:03:54.210]  just trying to help people's lives be better and easier
[04:03:54.210 --> 04:03:58.130]  and to grow their food and the medicine that they have
[04:03:58.130 --> 04:04:00.010]  a need and can.
[04:04:00.010 --> 04:04:01.370]  So.
[04:04:01.370 --> 04:04:03.530]  So if guys wanna learn more about you,
[04:04:03.530 --> 04:04:04.770]  where can we find you at?
[04:04:04.770 --> 04:04:09.770]  Paoniasoilco.com, spelled P-A-O-N-I-A-S-O-I-L-C-O.com.
[04:04:12.650 --> 04:04:14.450]  And you guys obviously have Instagram.
[04:04:14.450 --> 04:04:17.970]  Yep, yeah, we're at Paoniasoilco on Instagram,
[04:04:17.970 --> 04:04:19.730]  Paoniasoilco on Facebook.
[04:04:21.370 --> 04:04:24.050]  All the information about our soils on our website,
[04:04:24.050 --> 04:04:25.770]  check out the website, give us a call.
[04:04:25.770 --> 04:04:27.170]  Do you wanna answer any questions you guys think
[04:04:27.170 --> 04:04:28.010]  anyone has?
[04:04:28.970 --> 04:04:31.250]  Yeah, I'd say maybe the last tip too,
[04:04:31.250 --> 04:04:32.650]  since you want another golden nugget
[04:04:32.650 --> 04:04:34.890]  is that a well-made compost
[04:04:34.890 --> 04:04:36.890]  can be an amazing flowering nutrient.
[04:04:37.730 --> 04:04:42.150]  You know, it provides PK plus cow mag,
[04:04:42.150 --> 04:04:43.730]  plus some trace minerals,
[04:04:43.730 --> 04:04:46.290]  plus that boost of microbiology.
[04:04:46.290 --> 04:04:47.730]  So we love compost teas,
[04:04:47.730 --> 04:04:51.570]  but we'll also use like our dynamic dressing compost
[04:04:51.570 --> 04:04:54.730]  as a straight flower nutrient and it works amazing.
[04:04:55.090 --> 04:04:58.450]  And so, yeah, if you have a good compost,
[04:04:58.450 --> 04:05:01.450]  even your own, it can be an amazing flower nutrient.
[04:05:01.450 --> 04:05:03.650]  A lot of people don't know that.
[04:05:03.650 --> 04:05:04.850]  Well, I appreciate your time guys.
[04:05:04.850 --> 04:05:06.490]  I know that it's take two of you away
[04:05:06.490 --> 04:05:08.010]  from the booth on a day like this.
[04:05:08.010 --> 04:05:09.290]  That's all good.
[04:05:09.290 --> 04:05:11.090]  We love to come down to your base.
[04:05:11.090 --> 04:05:12.690]  We need a break.
[04:05:12.690 --> 04:05:14.010]  You're down in the dungeon today.
[04:05:14.010 --> 04:05:14.850]  That's it, all dungeon all the time.
[04:05:14.850 --> 04:05:15.970]  Well, we appreciate your time guys.
[04:05:15.970 --> 04:05:19.130]  And again, we look forward to working with you guys
[04:05:19.130 --> 04:05:20.250]  and talking further.
[04:05:20.250 --> 04:05:21.090]  Awesome, thank you.
[04:05:21.090 --> 04:05:21.930]  Thank you.
[04:05:21.930 --> 04:05:22.750]  Appreciate it.
[04:05:22.750 --> 04:05:23.590]  Thanks everybody.
[04:05:23.590 --> 04:05:32.040]  All right, hold on everybody.
[04:05:33.040 --> 04:05:35.000]  Let me turn the music back on.
[04:05:35.880 --> 04:05:40.360]  Sorry, the two guys who were just talking,
[04:05:40.360 --> 04:05:50.670]  just a multitasking.
[04:06:01.990 --> 04:06:04.350]  Nah, I can't have you like my two year old
[04:06:04.350 --> 04:06:07.910]  didn't wanna go in the bathtub with the babysitter.
[04:06:07.910 --> 04:06:11.910]  And so I had to run up there and I gave her a bath bomb.
[04:06:11.910 --> 04:06:14.430]  Suddenly then she wanted to go in the bathtub.
[04:06:23.440 --> 04:06:25.360]  All right, well, hold on.
[04:06:25.360 --> 04:06:26.200]  Well, I'll tell you what,
[04:06:26.200 --> 04:06:27.840]  let me give you a call back in a couple of minutes.
[04:06:27.840 --> 04:06:29.640]  Oh wait, no, the computer woke up.
[04:06:29.640 --> 04:06:34.640]  Hold on, just get everybody their music.
[04:06:44.240 --> 04:06:45.760]  And three.
[04:06:46.760 --> 04:08:54.880]  I follow the rain, the rain, the rain.
[04:08:54.880 --> 04:09:34.350]  Follow the rain, follow the rain.
[04:09:46.050 --> 04:09:47.970]  Merci, merci beaucoup.
[04:09:54.210 --> 04:09:59.210]  This one was written about a famous politician in Jamaica.
[04:09:59.370 --> 04:10:02.610]  Several youths families lost their lives.
[04:10:03.450 --> 04:10:05.410]  Yeah, and so my only way,
[04:10:05.410 --> 04:10:08.890]  my way to deal with it was to write about it.
[04:10:08.890 --> 04:10:11.250]  This one entitled Chatty Chatty Mouth.
[04:10:29.360 --> 04:10:31.040]  Chatty Chatty Mouth.
[04:10:32.320 --> 04:10:34.880]  You want to know your culture.
[04:10:34.880 --> 04:10:36.200]  Know your culture.
[04:10:36.200 --> 04:10:37.880]  Chatty Chatty Mouth.
[04:10:39.200 --> 04:10:41.720]  You want to know your culture.
[04:10:41.720 --> 04:10:43.720]  Know your culture.
[04:10:43.760 --> 04:10:46.080]  Your parents is a warrior.
[04:10:46.080 --> 04:10:48.600]  Chatty Mouth you are a traitor.
[04:10:48.600 --> 04:10:50.640]  You are a traitor.
[04:10:50.640 --> 04:10:53.240]  You can't be lifted the humble.
[04:10:55.120 --> 04:10:57.120]  Also fight the destiny.
[04:10:59.120 --> 04:10:59.960]  Oh yes.
[04:11:00.840 --> 04:11:02.400]  But I and I and I,
[04:11:04.440 --> 04:11:06.120]  by the power of joy,
[04:11:07.880 --> 04:11:10.040]  we shall overcome one day.
[04:11:13.760 --> 04:11:15.760]  Hey, hey, hey, hey, hey.
[04:11:17.240 --> 04:11:18.920]  Chatty Chatty Mouth.
[04:11:20.240 --> 04:11:22.800]  Be wise and know your culture.
[04:11:22.800 --> 04:11:24.080]  Know your culture.
[04:11:24.080 --> 04:11:25.760]  Chatty Chatty Mouth.
[04:11:27.040 --> 04:11:29.600]  Be wise and know your culture.
[04:11:29.600 --> 04:11:31.520]  Know your culture.
[04:11:31.520 --> 04:11:33.240]  Your passion be lost
[04:11:33.240 --> 04:11:36.240]  and you Chatty Mouth you get a blow.
[04:11:38.320 --> 04:11:39.800]  Remember justice.
[04:11:39.840 --> 04:11:40.680]  Oh yes.
[04:11:42.040 --> 04:11:45.720]  The humble and the mean they shall prevail.
[04:11:47.080 --> 04:11:47.920]  Oh yes.
[04:12:01.500 --> 04:12:02.980]  If you want heal,
[04:12:15.440 --> 04:12:16.360]  so I and I,
[04:12:20.290 --> 04:12:21.970]  by the power of joy,
[04:12:23.090 --> 04:12:25.690]  we shall overcome one fine day.
[04:12:25.810 --> 04:12:26.810]  One fine day.
[04:12:31.810 --> 04:12:33.570]  Chatty Chatty Mouth.
[04:12:34.810 --> 04:12:37.370]  Be wise and know your culture.
[04:12:37.370 --> 04:12:38.650]  Know your culture.
[04:12:38.650 --> 04:12:40.330]  Chatty Chatty Mouth.
[04:12:41.570 --> 04:12:44.090]  Be wise and know your culture.
[04:12:44.090 --> 04:12:46.210]  Know your culture.
[04:12:46.210 --> 04:12:48.530]  You and your passion be lost
[04:12:48.530 --> 04:12:50.010]  if you won't heal.
[04:12:51.930 --> 04:12:53.610]  You will get a blow.
[04:12:53.610 --> 04:13:06.170]  And then you run into Jah saying,
[04:13:08.650 --> 04:13:11.930]  there is an eye who have done so and so.
[04:13:11.930 --> 04:13:15.090]  We can't stand, say depart from I.
[04:13:15.090 --> 04:13:16.330]  I know you not.
[04:13:17.250 --> 04:13:18.770]  I want you hear me.
[04:13:18.770 --> 04:13:20.450]  Chatty Chatty Mouth.
[04:13:21.650 --> 04:13:24.010]  Be wise and know your culture.
[04:13:24.010 --> 04:13:25.410]  Know your culture.
[04:13:25.410 --> 04:13:27.090]  Chatty Chatty Mouth.
[04:13:28.290 --> 04:13:30.770]  Be wise and know your culture.
[04:13:30.770 --> 04:13:32.130]  Know your culture.
[04:13:32.250 --> 04:13:33.930]  Chatty Chatty Mouth.
[04:13:36.410 --> 04:13:37.250]  Be wise.
[04:13:38.650 --> 04:13:40.330]  I'm telling you now.
[04:13:42.090 --> 04:13:44.090]  Hey now now now now now.
[04:14:26.240 --> 04:14:27.760]  If you won't heal.
[04:15:16.650 --> 04:15:18.650]  We're enjoying the sound of Clinton.
[04:15:18.650 --> 04:15:19.690]  How are we doing?
[04:15:19.690 --> 04:15:20.530]  Sava?
[04:15:20.530 --> 04:15:21.370]  Sava?
[04:15:21.370 --> 04:15:22.210]  Sava?
[04:15:22.210 --> 04:15:23.050]  Sava?
[04:15:23.050 --> 04:15:25.770]  In the back side, how we doing over there?
[04:15:25.770 --> 04:15:26.610]  Sava?
[04:15:27.130 --> 04:15:29.810]  Yeah, we are together here, yes.
[04:15:29.810 --> 04:15:30.890]  Yeah, yeah.
[04:15:30.890 --> 04:15:31.730]  We won't cry.
[04:15:31.730 --> 04:15:34.490]  This one entitled I'm Not Crying.
[04:15:47.230 --> 04:15:51.390]  We'll make the guests feel like we're listening to them.
[04:15:59.370 --> 04:16:00.810]  Can't unmute you.
[04:16:02.170 --> 04:16:04.490]  You have to do it yourself.
[04:16:12.910 --> 04:16:15.230]  You have to do it yourself.
[04:16:25.520 --> 04:16:26.360]  What up, Peter?
[04:16:26.360 --> 04:16:28.840]  Can you hit those high notes?
[04:16:28.840 --> 04:16:30.080]  No, I got bass.
[04:16:32.360 --> 04:16:33.280]  Bass voice.
[04:16:39.200 --> 04:16:40.760]  Actually, I got a-
[04:16:40.760 --> 04:16:41.600]  Go ahead.
[04:16:42.520 --> 04:16:44.040]  See, I got a question.
[04:16:44.080 --> 04:16:45.840]  I got this product, right?
[04:16:45.840 --> 04:16:48.680]  Oh, that does look like shit, huh?
[04:16:49.880 --> 04:16:53.240]  He's just noticing I've been making videos.
[04:16:53.240 --> 04:16:57.520]  Now, I think it's 100% the exhibit hall.
[04:16:57.520 --> 04:17:00.320]  Oh yeah, we're in a block of concrete
[04:17:00.320 --> 04:17:02.120]  in the dungeon in the basement.
[04:17:02.120 --> 04:17:06.040]  Like, they gave us the worst spot to do this.
[04:17:06.040 --> 04:17:07.760]  All right, so what's the question?
[04:17:07.760 --> 04:17:10.360]  So, I have this crystalline, right?
