[00:00.000 --> 00:00.840]  Damn it.
[01:46:07.010 --> 01:46:08.850]  So I don't want to speak on it.
[01:46:08.850 --> 01:46:13.850]  I left in, I personally left for personal reasons,
[01:46:14.010 --> 01:46:17.690]  just stuff for in 2019.
[01:46:17.690 --> 01:46:21.450]  But we were popping like a thousand beans a season
[01:46:21.450 --> 01:46:22.810]  and pheno hunting.
[01:46:22.810 --> 01:46:25.570]  And I was, you know, right behind Shane,
[01:46:25.570 --> 01:46:28.410]  like out there early morning doing all our garden duties.
[01:46:28.410 --> 01:46:30.130]  But then at the same time,
[01:46:30.130 --> 01:46:32.370]  I'd go and walk out to our pheno hunt
[01:46:32.370 --> 01:46:36.810]  and, you know, have my pen and paper and track everything.
[01:46:36.810 --> 01:46:40.010]  You know, we all know that the smoke is the final test,
[01:46:40.010 --> 01:46:41.290]  but like, you got a whole crop,
[01:46:41.290 --> 01:46:42.690]  let's study these plants, you know,
[01:46:42.970 --> 01:46:45.010]  what's the expression, how are they growing?
[01:46:45.010 --> 01:46:46.170]  How are they propagating?
[01:46:46.170 --> 01:46:47.650]  Like, go talk to your veg manager,
[01:46:47.650 --> 01:46:49.450]  which what's the percentage on this?
[01:46:49.450 --> 01:46:51.650]  Like what sisters are rooting faster?
[01:46:51.650 --> 01:46:53.650]  What sisters aren't rooting faster?
[01:46:53.650 --> 01:46:56.850]  You know, like what's the bounce back time
[01:46:56.850 --> 01:46:58.250]  after a major prune?
[01:46:58.250 --> 01:46:59.930]  When you're pruning, is it super sticky?
[01:46:59.930 --> 01:47:00.770]  Does it smell?
[01:47:00.770 --> 01:47:02.290]  You know, like you're doing all,
[01:47:02.290 --> 01:47:04.010]  like I was doing all these things personally
[01:47:04.010 --> 01:47:05.170]  with all these seed hunts.
[01:47:05.170 --> 01:47:06.010]  I loved it.
[01:47:06.010 --> 01:47:09.010]  I'm very grateful that like being able to pop all the seeds,
[01:47:09.010 --> 01:47:10.770]  like I've never been able to pop that much.
[01:47:11.290 --> 01:47:13.930]  You know, now I'm only, I don't do that,
[01:47:13.930 --> 01:47:15.490]  but I mean, like when we were in Hawaii,
[01:47:15.490 --> 01:47:16.930]  we weren't popping thousands,
[01:47:16.930 --> 01:47:20.410]  we were, you know, what we could at the time, you know?
[01:47:20.410 --> 01:47:21.530]  But yeah, like Canna Essentials,
[01:47:21.530 --> 01:47:22.690]  they got, they just hunt, you know,
[01:47:22.690 --> 01:47:23.810]  they were just hunting seeds.
[01:47:23.810 --> 01:47:26.290]  We were just hunting seeds, finding heaters.
[01:47:26.290 --> 01:47:27.370]  You know, we were finding heaters
[01:47:27.370 --> 01:47:31.850]  that we couldn't really validate commercial growing
[01:47:31.850 --> 01:47:34.730]  because they were just such small producers,
[01:47:34.730 --> 01:47:38.490]  but man, you pull your wig back like, wow.
[01:47:38.490 --> 01:47:40.530]  The head stash, they're for the head stash.
[01:47:40.530 --> 01:47:45.250]  Yeah, like straight up, like it's not commercially viable
[01:47:45.250 --> 01:47:49.010]  at all, it's like, and I'm not gonna say any strains at all
[01:47:49.010 --> 01:47:50.050]  because I don't want to talk bad
[01:47:50.050 --> 01:47:51.690]  about any breeder or anybody,
[01:47:51.690 --> 01:47:55.490]  but like, you know, we popped very,
[01:47:55.490 --> 01:47:57.250]  lots and lots of stuff, you know?
[01:47:57.250 --> 01:47:59.250]  And there's only a few things that they kept,
[01:47:59.250 --> 01:48:03.930]  that we kept, and the reasons being like,
[01:48:03.930 --> 01:48:06.250]  A, is it good, you know?
[01:48:06.250 --> 01:48:07.730]  B, is it commercially viable?
[01:48:07.890 --> 01:48:10.050]  You know, like, they, I don't want to speak for them
[01:48:10.050 --> 01:48:10.890]  because I don't work for them,
[01:48:10.890 --> 01:48:13.370]  but like, they're only focused on what's good.
[01:48:13.370 --> 01:48:15.370]  Like, and that's why I love working for them
[01:48:15.370 --> 01:48:17.490]  because it's like, if it ain't good, get it out of here.
[01:48:17.490 --> 01:48:20.370]  Like, and they were always wanting to find new stuff
[01:48:20.370 --> 01:48:22.050]  that is top notch, you know?
[01:48:22.050 --> 01:48:24.650]  And then after it's top notch, is it commercially viable?
[01:48:24.650 --> 01:48:26.210]  And those are like, you know,
[01:48:26.210 --> 01:48:27.890]  they still probably pump out stuff
[01:48:27.890 --> 01:48:29.570]  that's not really commercially viable,
[01:48:29.570 --> 01:48:31.250]  but if you get your hands on it,
[01:48:31.250 --> 01:48:34.530]  you're like, wow, that's some dank, you know?
[01:48:34.530 --> 01:48:36.490]  Like, I know they're holding on
[01:48:36.490 --> 01:48:38.050]  to a lot of special stuff over there.
[01:48:38.050 --> 01:48:40.490]  So respect to you guys for keeping it up.
[01:48:41.410 --> 01:48:43.930]  I know we've had our ups and downs, but like, keep it up.
[01:48:43.930 --> 01:48:45.770]  Y'all are killing it out there.
[01:48:45.770 --> 01:48:47.770]  And that's a good long play though,
[01:48:47.770 --> 01:48:52.290]  is when you do kind of go with quality first,
[01:48:52.290 --> 01:48:55.410]  because there are a lot of people in it for the short term.
[01:48:55.410 --> 01:48:57.810]  And, you know, it's almost a pump and dump,
[01:48:57.810 --> 01:49:00.090]  build the business to sell the business.
[01:49:00.090 --> 01:49:02.410]  But, you know, the long play,
[01:49:02.410 --> 01:49:06.370]  and keeping that not exclusivity, like, you know,
[01:49:07.250 --> 01:49:08.090]  well, yeah, to a certain extent,
[01:49:08.090 --> 01:49:10.970]  but when you have something special,
[01:49:10.970 --> 01:49:11.850]  see, that's my whole thing.
[01:49:11.850 --> 01:49:13.850]  And that's why I kind of like looking through things
[01:49:13.850 --> 01:49:16.370]  and I like, you know, playing around with crosses
[01:49:16.370 --> 01:49:19.490]  is it's all about that something special
[01:49:19.490 --> 01:49:22.050]  because there's a lot of great canvas out there these days.
[01:49:22.050 --> 01:49:26.170]  And it's easier than ever before to access the seeds to it.
[01:49:26.170 --> 01:49:29.330]  So if you don't have something that's just like,
[01:49:29.330 --> 01:49:32.490]  I'm gonna drive five miles further too,
[01:49:32.490 --> 01:49:33.970]  then what are you really doing?
[01:49:33.970 --> 01:49:38.730]  So, yeah, those are the things that I kind of look for, but.
[01:49:38.730 --> 01:49:41.170]  Always quality, quality over everything, always,
[01:49:41.170 --> 01:49:43.370]  you know, like always.
[01:49:43.370 --> 01:49:45.170]  Yep, so hopefully, you know,
[01:49:45.170 --> 01:49:47.450]  and if you do find something and it's not, you know,
[01:49:47.450 --> 01:49:50.450]  as we're saying commercially viable, then work with it.
[01:49:50.450 --> 01:49:54.050]  Start playing with something to try to add a little bit
[01:49:54.050 --> 01:49:55.210]  of what you want to it.
[01:49:55.210 --> 01:49:57.450]  And I personally like always going back
[01:49:57.450 --> 01:50:01.010]  to some older genetics, just because there's less in them,
[01:50:01.010 --> 01:50:04.330]  makes my job a little bit easier at the time, faster.
[01:50:05.330 --> 01:50:09.450]  I'll bookend that with by no means,
[01:50:09.450 --> 01:50:11.130]  am I like a breeder or an expert
[01:50:11.130 --> 01:50:13.730]  or a very knowledgeable person in the subject?
[01:50:13.730 --> 01:50:15.850]  I'm just on a hunt.
[01:50:15.850 --> 01:50:18.530]  You're shucking seeds, you've bred a plant.
[01:50:18.530 --> 01:50:21.410]  Just because you're not like doing some CRISPR shade
[01:50:21.410 --> 01:50:22.970]  or tapping into every single,
[01:50:22.970 --> 01:50:25.290]  you have millions of dollars to throw down
[01:50:25.290 --> 01:50:28.730]  at like a scientific lab to do some breeding, real talk.
[01:50:28.730 --> 01:50:31.690]  Like, bro, like humans have been breeding plants
[01:50:31.690 --> 01:50:34.290]  and shucking seeds for thousands of years, man.
[01:50:34.290 --> 01:50:35.770]  Give yourself some credit, Chad.
[01:50:35.770 --> 01:50:36.610]  Yeah, thank you.
[01:50:36.610 --> 01:50:37.650]  Thank you, man.
[01:50:37.650 --> 01:50:40.050]  And, you know, I'm on a mission and this is something,
[01:50:40.050 --> 01:50:43.170]  you know, back in the medical days when I first,
[01:50:43.170 --> 01:50:46.290]  you know, one of my first like pro clones, as I say,
[01:50:46.290 --> 01:50:49.010]  was a Jax Cleaner II, it was from TGA.
[01:50:49.010 --> 01:50:52.930]  And they were looking for specific characteristics
[01:50:52.930 --> 01:50:53.850]  to help people.
[01:50:53.850 --> 01:50:58.170]  And that being a medical user myself became my mission.
[01:50:58.170 --> 01:51:03.170]  And so, yeah, that's an important aspect to me.
[01:51:03.890 --> 01:51:05.810]  And that's why, you know, that's why I play around
[01:51:05.810 --> 01:51:07.850]  because if I find something that works for me,
[01:51:07.850 --> 01:51:08.690]  it's gonna help others too.
[01:51:08.690 --> 01:51:10.250]  Yeah, and you wanna keep it, right?
[01:51:10.250 --> 01:51:12.210]  And you're like, work with it and see like,
[01:51:12.210 --> 01:51:13.050]  it'll pass on.
[01:51:13.050 --> 01:51:16.450]  Like, see if you can have that effect with that trait
[01:51:16.450 --> 01:51:19.210]  or whatever, you know, like, it's really special.
[01:51:19.210 --> 01:51:21.810]  And like, what may be commercially viable to one person
[01:51:21.810 --> 01:51:23.550]  may not be commercially viable to another.
[01:51:23.550 --> 01:51:25.330]  Like back in the day, like I said,
[01:51:25.330 --> 01:51:28.970]  you had plants that would grow tall as a house, you know,
[01:51:28.970 --> 01:51:33.130]  like you're a triple tier indoor system
[01:51:33.130 --> 01:51:34.930]  that might not be the plant for you.
[01:51:34.930 --> 01:51:36.450]  You know what I mean?
[01:51:36.450 --> 01:51:40.130]  So, you know, commercially viable varies just as much
[01:51:40.130 --> 01:51:41.850]  as the next thing in my opinion.
[01:51:41.850 --> 01:51:43.810]  But you know, we all want something good always,
[01:51:43.810 --> 01:51:44.930]  quality always, you know?
[01:51:44.930 --> 01:51:48.410]  So it's like, we say commercially viable,
[01:51:48.410 --> 01:51:49.610]  but that may be different.
[01:51:49.610 --> 01:51:51.670]  And like, it's just not commercially viable.
[01:51:51.670 --> 01:51:52.610]  I think it's special.
[01:51:52.610 --> 01:51:55.170]  Like you're growing out like pop, like 50, 60,
[01:51:56.010 --> 01:51:57.170]  whatever seeds, like,
[01:51:57.170 --> 01:51:59.930]  and you're the only one that gets to smoke that.
[01:51:59.930 --> 01:52:01.610]  And you get to share with your friends.
[01:52:01.610 --> 01:52:03.730]  And you're like, I did not take any clones of this,
[01:52:03.730 --> 01:52:05.130]  but damn, this is special.
[01:52:05.130 --> 01:52:07.210]  Really special.
[01:52:07.210 --> 01:52:08.890]  It makes it even more special.
[01:52:08.890 --> 01:52:10.050]  And it makes it unique.
[01:52:10.050 --> 01:52:12.650]  And you're like doing your homies and your family
[01:52:12.650 --> 01:52:14.050]  get to try something special
[01:52:14.050 --> 01:52:16.170]  and get to experience something nobody else
[01:52:16.170 --> 01:52:17.010]  gets to experience.
[01:52:17.010 --> 01:52:17.850]  And that's for you.
[01:52:17.850 --> 01:52:20.550]  And that's, you produce, like you grew that product.
[01:52:20.550 --> 01:52:22.930]  And it's, there's nothing like it in the world.
[01:52:22.930 --> 01:52:24.730]  Like there's something special about that.
[01:52:25.290 --> 01:52:28.690]  Like, I think there is, you know, even if like, yeah,
[01:52:28.690 --> 01:52:30.530]  we all want to find something special and keep cuts.
[01:52:30.530 --> 01:52:32.570]  And like, sometimes you might not have room for that,
[01:52:32.570 --> 01:52:33.890]  or that's not your MO,
[01:52:33.890 --> 01:52:36.490]  but like, I want to give respect to the person
[01:52:36.490 --> 01:52:39.290]  who's just popping seeds and smoking the high grade
[01:52:39.290 --> 01:52:41.450]  and giving praise to the goddess plant
[01:52:41.450 --> 01:52:45.010]  and knowing like whatever it's called,
[01:52:45.010 --> 01:52:46.910]  as long as it's good to my nose
[01:52:46.910 --> 01:52:48.890]  and effective in my mind and body,
[01:52:48.890 --> 01:52:50.930]  like that's what we're all looking for, you know?
[01:52:50.930 --> 01:52:52.530]  And it might, every plant's kind of different
[01:52:52.530 --> 01:52:53.450]  for everybody, you know?
[01:52:53.450 --> 01:52:55.530]  Like, and at different times of the day.
[01:52:55.530 --> 01:52:58.170]  So it's all.
[01:52:58.170 --> 01:53:01.330]  Yeah. At the end of the day, the name is secondary.
[01:53:01.330 --> 01:53:03.690]  And I get asked that question sometimes
[01:53:03.690 --> 01:53:04.930]  when people are talking about like,
[01:53:04.930 --> 01:53:06.930]  well, do you think these seeds are legit?
[01:53:06.930 --> 01:53:09.430]  Or, you know, do you think this is real?
[01:53:09.430 --> 01:53:11.270]  And that's usually an answer I go with,
[01:53:11.270 --> 01:53:13.090]  because, you know, I've had
[01:53:13.090 --> 01:53:15.450]  from different seed banks overseas, I'm like,
[01:53:15.450 --> 01:53:17.730]  I know this isn't what they're saying it is,
[01:53:17.730 --> 01:53:19.250]  but whether it's good or not,
[01:53:19.250 --> 01:53:21.650]  that's what's going to make me happy at the end of the day.
[01:53:21.650 --> 01:53:26.650]  And there's one, God, it's actually, it's right here.
[01:53:27.130 --> 01:53:32.130]  Cannabisia was the company.
[01:53:32.610 --> 01:53:34.470]  And I'm not calling them out.
[01:53:34.470 --> 01:53:35.690]  Damn, it doesn't have the strand on here,
[01:53:35.690 --> 01:53:39.890]  but it was something like Gorilla Glue, something, whatever.
[01:53:39.890 --> 01:53:42.770]  It absolutely was not a Gorilla Glue,
[01:53:42.770 --> 01:53:47.170]  but it was the most like amazing Sherbert-like tasting.
[01:53:47.170 --> 01:53:49.190]  It was one of those ones I didn't clone
[01:53:49.190 --> 01:53:51.710]  because I didn't think of it.
[01:53:51.710 --> 01:53:52.910]  And it turned out just to be
[01:53:52.910 --> 01:53:56.950]  just like the most magical tasting plant, like, fuck.
[01:53:56.950 --> 01:53:59.510]  Yeah, so like, yeah, we've had those, you know,
[01:53:59.510 --> 01:54:03.270]  like to where like, even like while it's growing,
[01:54:03.270 --> 01:54:05.670]  you're like, eh, eh.
[01:54:05.670 --> 01:54:10.390]  Like, you're pretty, definitely not what I was expecting.
[01:54:10.390 --> 01:54:12.390]  But then you harvest it and you smoke it
[01:54:12.390 --> 01:54:15.670]  and you're like, damn, I'm sorry I just chewed.
[01:54:15.670 --> 01:54:18.470]  Like, you just, you got me ripped.
[01:54:19.310 --> 01:54:20.150]  Yeah.
[01:54:20.150 --> 01:54:22.110]  Sorry, like, damn, you know?
[01:54:22.110 --> 01:54:23.030]  So I mean, that happens.
[01:54:23.030 --> 01:54:24.510]  And that's what I think is special.
[01:54:24.510 --> 01:54:26.030]  It's like, you know,
[01:54:26.030 --> 01:54:28.350]  reminds you don't judge a book by its cover, you know?
[01:54:28.350 --> 01:54:32.310]  Like, don't judge a plant by its look.
[01:54:32.310 --> 01:54:33.470]  Bag of peel ain't shit.
[01:54:33.470 --> 01:54:35.030]  Like.
[01:54:35.030 --> 01:54:37.150]  Yeah, by, you know, where you're,
[01:54:37.150 --> 01:54:38.870]  oh God, you were saying earlier, you know,
