[00:00.000 --> 00:05.760]  Make the connection.
[02:30:30.890 --> 02:30:32.890]  they're Jurassic
[02:30:32.890 --> 02:30:34.890]  the big brother
[02:30:34.890 --> 02:30:36.890]  there's a whole lot of other problems
[02:30:36.890 --> 02:30:38.890]  yes
[02:30:38.890 --> 02:30:40.890]  there's all these other issues
[02:30:40.890 --> 02:30:42.890]  but here in California right now
[02:30:42.890 --> 02:30:44.890]  this year, every operation I go to
[02:30:44.890 --> 02:30:46.890]  that's having any kind of pest problem
[02:30:46.890 --> 02:30:48.890]  if it's an aphid, it's in an indoor
[02:30:49.110 --> 02:30:51.110]  or it's in a greenhouse
[02:30:51.110 --> 02:30:53.110]  and it is so
[02:30:53.110 --> 02:30:55.110]  aggressive in its reproduction
[02:30:55.110 --> 02:30:57.110]  that you can't control it
[02:30:57.110 --> 02:30:59.110]  once it's in your nursery
[02:30:59.110 --> 02:31:01.110]  it moves through the operation
[02:31:01.110 --> 02:31:03.110]  and so you have to be able
[02:31:03.110 --> 02:31:05.110]  to get yourself starting clean
[02:31:05.110 --> 02:31:07.110]  and make sure
[02:31:07.110 --> 02:31:09.110]  that your canopy isn't so
[02:31:09.110 --> 02:31:11.110]  connected and so
[02:31:11.110 --> 02:31:13.110]  congregated that you can't get any
[02:31:13.110 --> 02:31:15.110]  kind of controls
[02:31:15.110 --> 02:31:17.110]  and once you have the problem
[02:31:17.330 --> 02:31:19.330]  you can't re-inoculate beneficials
[02:31:19.330 --> 02:31:21.330]  into the space
[02:31:21.330 --> 02:31:23.330]  everybody tells you ladybugs and shit, they fly out
[02:31:23.330 --> 02:31:25.330]  it's green lacewings that work well
[02:31:25.330 --> 02:31:27.330]  lacewings work really well for this
[02:31:27.330 --> 02:31:29.330]  but you've got to grow them up as larva
[02:31:29.330 --> 02:31:31.330]  you put them in as an adult
[02:31:31.330 --> 02:31:33.330]  so you need to get a billion of them
[02:31:33.330 --> 02:31:35.330]  and then you're having to put them into a grid
[02:31:35.330 --> 02:31:37.330]  and then allow them to move in
[02:31:37.330 --> 02:31:39.330]  and by the time they mature and start to eat
[02:31:39.330 --> 02:31:41.330]  the aphids out reproduce them
[02:31:41.330 --> 02:31:43.330]  so you've got to get
[02:31:43.330 --> 02:31:45.330]  the population brought down
[02:31:45.550 --> 02:31:47.550]  and then you've got to deploy
[02:31:47.550 --> 02:31:49.550]  you bring in the beneficials
[02:31:49.550 --> 02:31:51.550]  and a lot of that is just starting
[02:31:51.550 --> 02:31:53.550]  from your source material
[02:31:53.550 --> 02:31:55.550]  and for a lot of these operations
[02:31:55.550 --> 02:31:57.550]  what they do is they run their own nurseries
[02:31:57.550 --> 02:31:59.550]  and when I go to the operation
[02:31:59.550 --> 02:32:01.550]  I'm always like look
[02:32:01.550 --> 02:32:03.550]  your whole place is contaminated
[02:32:03.550 --> 02:32:05.550]  just take me to the nursery first
[02:32:05.550 --> 02:32:07.550]  and let's find it
[02:32:07.550 --> 02:32:09.550]  and then you can find the clusters under the leaves
[02:32:09.550 --> 02:32:11.550]  and you're like you've got a problem
[02:32:11.550 --> 02:32:13.550]  because I'm telling you man
[02:32:13.770 --> 02:32:15.770]  holy christ I swear to god they're born pregnant
[02:32:15.770 --> 02:32:17.770]  you know what
[02:32:17.770 --> 02:32:19.770]  I did it on the green weed to get rid of them
[02:32:19.770 --> 02:32:21.770]  these root aphids
[02:32:21.770 --> 02:32:23.770]  that are now hemp aphids
[02:32:23.770 --> 02:32:25.770]  I ran two acres last year we did like 2,500 plants
[02:32:25.770 --> 02:32:27.770]  it seems like they just like
[02:32:27.770 --> 02:32:29.770]  once the ladybugs
[02:32:29.770 --> 02:32:31.770]  end their reproductive cycle
[02:32:31.770 --> 02:32:33.770]  and the eggs are ready to hatch
[02:32:33.770 --> 02:32:35.770]  the aphids try to move in
[02:32:35.770 --> 02:32:37.770]  and then they try to kind of sweep through your crop
[02:32:37.770 --> 02:32:39.770]  but we've tried essential oils
[02:32:39.770 --> 02:32:41.770]  soaps, sulfurs
[02:32:41.990 --> 02:32:43.990]  and vegetable oil
[02:32:43.990 --> 02:32:45.990]  and vegetative state obviously
[02:32:45.990 --> 02:32:47.990]  the thing that seemed to work the very best
[02:32:47.990 --> 02:32:49.990]  was just straight up hard pressured water
[02:32:49.990 --> 02:32:51.990]  to get them off the plant
[02:32:51.990 --> 02:32:53.990]  once they let go they die
[02:32:53.990 --> 02:32:55.990]  russets
[02:32:55.990 --> 02:32:57.990]  I've been growing in northern California
[02:32:57.990 --> 02:32:59.990]  for a long time now
[02:32:59.990 --> 02:33:01.990]  it gets very very hot where I'm at
[02:33:01.990 --> 02:33:03.990]  it gets up to like 120 degrees
[02:33:03.990 --> 02:33:05.990]  I've seen russets run through 99 plant gardens
[02:33:05.990 --> 02:33:07.990]  and kill that shit within two weeks
[02:33:07.990 --> 02:33:09.990]  we ran into them about 2012
[02:33:10.210 --> 02:33:12.210]  they need a lot of sulfur
[02:33:12.210 --> 02:33:14.210]  they need a direct contact
[02:33:14.210 --> 02:33:16.210]  they need to be touched
[02:33:16.210 --> 02:33:18.210]  so if you start going into flower
[02:33:18.210 --> 02:33:20.210]  right before your THC and everything else shows up
[02:33:20.210 --> 02:33:22.210]  I like to give them a nice thick layer of sulfur
[02:33:22.210 --> 02:33:24.210]  that way all the new growth comes completely out of it
[02:33:24.210 --> 02:33:26.210]  it doesn't actually touch any of the flowers at all
[02:33:26.210 --> 02:33:28.210]  but it needs to be a direct contact killer
[02:33:28.210 --> 02:33:30.210]  for those guys
[02:33:30.210 --> 02:33:32.210]  those guys breed like 81 times a day
[02:33:32.210 --> 02:33:34.210]  or some shit
[02:33:34.210 --> 02:33:36.210]  the other aphids breed like 6 or 8 times a day
[02:33:36.210 --> 02:33:38.210]  and you're right they are born pregnant
[02:33:38.430 --> 02:33:40.430]  we've tried super high pressure
[02:33:40.430 --> 02:33:42.430]  with oil, soap, sulfur
[02:33:42.430 --> 02:33:44.430]  pretty much nothing works
[02:33:44.430 --> 02:33:46.430]  if they are hanging on to the plant
[02:33:46.430 --> 02:33:48.430]  they're still going to breed
[02:33:48.430 --> 02:33:50.430]  but if you can get them to let go
[02:33:50.430 --> 02:33:52.430]  they die
[02:33:52.430 --> 02:33:54.430]  and I thought Justin Calvino
[02:33:54.430 --> 02:33:56.430]  was prolific in the procreation
[02:33:56.430 --> 02:33:58.430]  that's funny he's got like 8 kids
[02:33:58.430 --> 02:34:00.430]  it's tough when you're good looking
[02:34:00.430 --> 02:34:02.430]  my boy Pedro
[02:34:02.430 --> 02:34:04.430]  has got like 8 kids too
[02:34:04.430 --> 02:34:06.430]  but for me
[02:34:06.650 --> 02:34:08.650]  we don't see russet issues
[02:34:08.650 --> 02:34:10.650]  until first of August
[02:34:10.650 --> 02:34:12.650]  pretty much here in our area
[02:34:12.650 --> 02:34:14.650]  and that's when the thrips come in too
[02:34:14.650 --> 02:34:16.650]  so I use
[02:34:16.650 --> 02:34:18.650]  californicus mites
[02:34:18.650 --> 02:34:20.650]  and I just put a couple sachets on every plant
[02:34:20.650 --> 02:34:22.650]  as a prophylactic
[02:34:22.650 --> 02:34:24.650]  in early July
[02:34:24.650 --> 02:34:26.650]  we're using the californicus, streptomyces
[02:34:26.650 --> 02:34:28.650]  and the necropolis
[02:34:28.650 --> 02:34:30.650]  I'm about to colonize
[02:34:30.650 --> 02:34:32.650]  yeah the necropolis
[02:34:32.650 --> 02:34:34.650]  ambrosones
[02:34:34.870 --> 02:34:36.870]  where are you at in Cali?
[02:34:36.870 --> 02:34:38.870]  the farm I worked at last year
[02:34:38.870 --> 02:34:40.870]  was around Santa Rosa area
[02:34:40.870 --> 02:34:42.870]  but I'm more like Shasta area
[02:34:42.870 --> 02:34:44.870]  yeah so you're in the heat too
[02:34:44.870 --> 02:34:46.870]  a lot of the beneficials
[02:34:46.870 --> 02:34:48.870]  that we use can't take the climate
[02:34:48.870 --> 02:34:50.870]  where the californicus can take that outdoor climate
[02:34:50.870 --> 02:34:52.870]  and the dry
[02:34:52.870 --> 02:34:54.870]  nothing else will survive in the low humidity
[02:34:54.870 --> 02:34:56.870]  because our humidity will get down to like 15%
[02:34:56.870 --> 02:34:58.870]  going back to the
[02:34:58.870 --> 02:35:00.870]  powdery mildew issue
[02:35:00.870 --> 02:35:02.870]  last year we ran into
[02:35:03.090 --> 02:35:05.090]  we got clones from all kinds of different sources
[02:35:05.090 --> 02:35:07.090]  dude we had cuts
[02:35:07.090 --> 02:35:09.090]  that came in with thrips
[02:35:09.090 --> 02:35:11.090]  two different kinds of mites
[02:35:11.090 --> 02:35:13.090]  wait can I stop you for one second
[02:35:13.090 --> 02:35:15.090]  when you
[02:35:15.090 --> 02:35:17.090]  started with we had cuts coming in
[02:35:17.090 --> 02:35:19.090]  from all sorts of places
[02:35:19.090 --> 02:35:21.090]  I was eager to see where this was going to go
[02:35:21.090 --> 02:35:23.090]  so go for it
[02:35:23.090 --> 02:35:25.090]  they got them from a really shitty location
[02:35:25.090 --> 02:35:27.090]  and the boss was super proud
[02:35:27.090 --> 02:35:29.090]  look at how good these look
[02:35:29.090 --> 02:35:31.090]  started looking at them
[02:35:31.310 --> 02:35:33.310]  straight up later on we got
[02:35:33.310 --> 02:35:35.310]  laboratory tested fesarium
[02:35:35.310 --> 02:35:37.310]  two different kinds of powdery mildew
[02:35:37.310 --> 02:35:39.310]  russets, thrips, and two different kinds of mites
[02:35:39.310 --> 02:35:41.310]  I was like dude
[02:35:41.310 --> 02:35:43.310]  you had to try to get all these at the same time
[02:35:43.310 --> 02:35:45.310]  what the fuck is going on
[02:35:45.310 --> 02:35:47.310]  but dude we wiped out
[02:35:47.310 --> 02:35:49.310]  everything whenever we had russets
[02:35:49.310 --> 02:35:51.310]  at one little point so what I like to do
[02:35:51.310 --> 02:35:53.310]  for russets, russets start at the bottom of the plant
[02:35:53.310 --> 02:35:55.310]  bottom middle of the plant
[02:35:55.310 --> 02:35:57.310]  they start eating your suckers
[02:35:57.310 --> 02:35:59.310]  so if you can actually leave just a handful of suckers
[02:35:59.530 --> 02:36:01.530]  at the very bottom of your plant
[02:36:01.530 --> 02:36:03.530]  that will give you an actual physical identification
[02:36:03.530 --> 02:36:05.530]  if they are starting to get eaten or not
[02:36:05.530 --> 02:36:07.530]  but once
[02:36:07.530 --> 02:36:09.530]  they hit the tip of that branch
[02:36:09.530 --> 02:36:11.530]  just cut that branch off and it's not going to come back
[02:36:11.530 --> 02:36:13.530]  if it does, it actually
[02:36:13.530 --> 02:36:15.530]  they have a bacteria in their mouth
[02:36:15.530 --> 02:36:17.530]  that actually damages the soft tissue of the plant
[02:36:17.530 --> 02:36:19.530]  so when it reaches the top of the plant
[02:36:19.530 --> 02:36:21.530]  they go and then it looks like
[02:36:21.530 --> 02:36:23.530]  they are trying to revert but the leaves are really
[02:36:23.530 --> 02:36:25.530]  crinkled and almost queued up looking
[02:36:25.530 --> 02:36:27.530]  they will miss serrations
[02:36:27.750 --> 02:36:29.750]  it's going to grow funky
[02:36:29.750 --> 02:36:31.750]  for a month and a half to three months
[02:36:31.750 --> 02:36:33.750]  if you are outdoors, cut off
[02:36:33.750 --> 02:36:35.750]  the damage or scrap the plant
[02:36:35.750 --> 02:36:37.750]  again, keep that separated
[02:36:37.750 --> 02:36:39.750]  put that shit in a bag
[02:36:39.750 --> 02:36:41.750]  spray the fuck out of it with some sulfur
[02:36:41.750 --> 02:36:43.750]  real heavy because again you are not going to use it
[02:36:43.750 --> 02:36:45.750]  and go wash your hands really fucking well
[02:36:45.750 --> 02:36:47.750]  the powdery mildew
[02:36:47.750 --> 02:36:49.750]  powdery mildew
[02:36:49.750 --> 02:36:51.750]  we found out there are 16 different species of powdery mildew
[02:36:51.750 --> 02:36:53.750]  back in the day you used to be able to use
[02:36:53.750 --> 02:36:55.750]  what was that one that smelled
[02:36:55.970 --> 02:36:57.970]  like feet
[02:36:57.970 --> 02:36:59.970]  it was in a bright pink bottle
[02:36:59.970 --> 02:37:01.970]  but everybody used to use
[02:37:01.970 --> 02:37:03.970]  that one back in the day, I don't even remember what it is now
[02:37:03.970 --> 02:37:05.970]  but literally now there is
[02:37:05.970 --> 02:37:07.970]  each bacilli species to combat
[02:37:07.970 --> 02:37:09.970]  different species of powdery mildew
[02:37:09.970 --> 02:37:11.970]  what powdery mildew does is it actually
[02:37:11.970 --> 02:37:13.970]  puts a footnote in your leaf, it actually puts
[02:37:13.970 --> 02:37:15.970]  a little claw inside your leaf
[02:37:15.970 --> 02:37:17.970]  and it stays there, so if it's an older
[02:37:17.970 --> 02:37:19.970]  genetic, more than likely it has it
[02:37:19.970 --> 02:37:21.970]  because somebody brought it indoors at one point and got
[02:37:21.970 --> 02:37:23.970]  powdery mildew and it spread
[02:37:24.190 --> 02:37:26.190]  if they tissue culture it
[02:37:26.190 --> 02:37:28.190]  the tissue culture comes out clean
[02:37:28.190 --> 02:37:30.190]  but the old cut, it has a footnote
[02:37:30.190 --> 02:37:32.190]  even if you have it in your indoor garden or outdoor garden
[02:37:32.190 --> 02:37:34.190]  as long as your
[02:37:34.190 --> 02:37:36.190]  environment is under control
[02:37:36.190 --> 02:37:38.190]  under 60% humidity and you have good air flow
[02:37:38.190 --> 02:37:40.190]  the powdery mildew
[02:37:40.190 --> 02:37:42.190]  will try to recede
[02:37:42.190 --> 02:37:44.190]  but the second you get a spike in your
[02:37:44.190 --> 02:37:46.190]  humidity it just tries to breed
[02:37:46.190 --> 02:37:48.190]  so it will actually, if you get a cut from a buddy
[02:37:48.190 --> 02:37:50.190]  he doesn't have powdery mildew and all of a sudden you get it like crazy
[02:37:50.190 --> 02:37:52.190]  your room is off
[02:37:52.410 --> 02:37:54.410]  but again
[02:37:54.410 --> 02:37:56.410]  there's different species of bacilli
[02:37:56.410 --> 02:37:58.410]  that actually combat it
[02:37:58.410 --> 02:38:00.410]  there's a product by bioscience
[02:38:00.410 --> 02:38:02.410]  called Armory, it actually has
[02:38:02.410 --> 02:38:04.410]  the four major species of bacilli
[02:38:04.410 --> 02:38:06.410]  in it, it does not have lactobacillus
[02:38:06.410 --> 02:38:08.410]  but it actually eats
[02:38:08.410 --> 02:38:10.410]  powdery mildew and it will actually live on the leaf
[02:38:10.410 --> 02:38:12.410]  surface and really try to rid it
[02:38:12.410 --> 02:38:14.410]  like literally you spray it one time
[02:38:14.410 --> 02:38:16.410]  and it's like, cool this is food
[02:38:16.410 --> 02:38:18.410]  but again it's such small
[02:38:18.410 --> 02:38:20.410]  microbial count that it's not going to help you
[02:38:20.630 --> 02:38:22.630]  it's not going to make you fail tests for
[02:38:22.630 --> 02:38:24.630]  microbes
[02:38:24.630 --> 02:38:26.630]  yeah it won't test hot
[02:38:26.630 --> 02:38:28.630]  no
[02:38:28.630 --> 02:38:30.630]  right now
[02:38:30.630 --> 02:38:32.630]  we have a real problem with all this ash in the air
[02:38:32.630 --> 02:38:34.630]  they're going to be testing high for yeast because it's going to be inside
[02:38:34.630 --> 02:38:36.630]  their buds
[02:38:36.630 --> 02:38:38.630]  we see plants here in California that are resistant
[02:38:38.630 --> 02:38:40.630]  but if they're on the east coast they're not
[02:38:40.630 --> 02:38:42.630]  because it's a different resistance
