[00:00.000 --> 00:02.000]  Let's see
[02:08:41.180 --> 02:08:43.180]  In my opinion, I feel like that is really worth it.
[02:08:44.180 --> 02:08:46.180]  There's another Duke Derrick here with Sunleaf Seeds.
[02:08:47.180 --> 02:08:49.180]  I run his Sour Pink Al.
[02:08:50.180 --> 02:08:52.180]  That was one that really stuck out for me that I felt like...
[02:08:53.180 --> 02:08:54.180]  I think he also had this...
[02:08:55.180 --> 02:08:56.180]  It was like a gang.
[02:08:57.180 --> 02:08:58.180]  There's a gangster one, Al Capone.
[02:08:58.740 --> 02:09:01.740]  He had an Al Capone that we ran that was really fantastic.
[02:09:02.740 --> 02:09:05.740]  The Mac and Cheese from Capulator, that was the one that we had run
[02:09:06.740 --> 02:09:09.740]  that I felt like lived up to the hype of the bag appeal.
[02:09:10.740 --> 02:09:14.740]  But as far as Terps and stuff, I feel like Duke Diamond stuff is more...
[02:09:15.740 --> 02:09:16.740]  I don't know if you've ever watched his stuff.
[02:09:17.740 --> 02:09:18.740]  No. What is...
[02:09:19.740 --> 02:09:20.740]  He's more of the skunk.
[02:09:21.740 --> 02:09:22.740]  Dominion Seeds.
[02:09:23.740 --> 02:09:24.740]  Oh, okay. Yeah, yeah, yeah.
[02:09:25.740 --> 02:09:26.740]  What did I just...
[02:09:27.300 --> 02:09:28.300]  It's like Kim family stuff.
[02:09:29.300 --> 02:09:30.300]  No, somebody just...
[02:09:31.300 --> 02:09:32.300]  We were talking about something strange and they were like,
[02:09:32.300 --> 02:09:33.300]  that's Dominion.
[02:09:34.300 --> 02:09:38.300]  And by the way, Brian, do you have any idea what the status with Duke is right now?
[02:09:39.300 --> 02:09:43.300]  You know, I've reached out to a few people and it just seems like
[02:09:44.300 --> 02:09:46.300]  the cans just kicked down the road another few months
[02:09:47.300 --> 02:09:48.300]  and everyone's hoping that something's going to happen
[02:09:49.300 --> 02:09:50.300]  and then the cans kick down the road a few more months.
[02:09:51.300 --> 02:09:52.300]  He's caught up.
[02:09:53.300 --> 02:09:54.300]  Damn.
[02:09:54.860 --> 02:09:55.860]  I would love to actually...
[02:09:56.860 --> 02:09:57.860]  With that, Peter, I would love to talk to you off air with that, man.
[02:09:58.860 --> 02:10:00.860]  Because there's, you know, we kind of hit it at some of that stuff before.
[02:10:01.860 --> 02:10:02.860]  So if that's something that we could do for him,
[02:10:03.860 --> 02:10:04.860]  I know I would love to be a part of it.
[02:10:05.860 --> 02:10:06.860]  Yeah.
[02:10:07.860 --> 02:10:09.860]  Yo, and much respect and love to the brethren Lemon Hoco in the chat.
[02:10:10.860 --> 02:10:11.860]  All this cool family over there.
[02:10:14.860 --> 02:10:16.860]  And by the way, what's the glass of choice tonight?
[02:10:19.860 --> 02:10:20.860]  This is for Melo Vora, actually.
[02:10:21.860 --> 02:10:23.860]  This is from our boy over there on the other side of this.
[02:10:24.860 --> 02:10:25.860]  This is to Gary Forger.
[02:10:26.860 --> 02:10:29.860]  This is his dad bar and this is kind of like his world.
[02:10:30.860 --> 02:10:31.860]  So I want to give a quick shout out to him for that
[02:10:32.860 --> 02:10:35.860]  because we wouldn't be able to do it as classy as we are tonight without him.
[02:10:38.860 --> 02:10:39.860]  And we're classy tonight.
[02:10:40.860 --> 02:10:41.860]  We are.
[02:10:42.860 --> 02:10:44.860]  That's the one word that kept popping into my head is classy.
[02:10:45.860 --> 02:10:47.860]  Yeah, we went out in quality conversations.
[02:10:48.860 --> 02:10:52.860]  That was really the end goal, I feel like, is to not interrupt,
[02:10:53.420 --> 02:10:57.420]  but I feel like that's the main thing is guys like Greg need that platform.
[02:10:58.420 --> 02:11:00.420]  You know, Nick doesn't really need that platform.
[02:11:01.420 --> 02:11:03.420]  He's been able to do that for himself, obviously.
[02:11:04.420 --> 02:11:05.420]  I kicked him, you know.
[02:11:06.420 --> 02:11:08.420]  But yeah, no, this man has been humble.
[02:11:09.420 --> 02:11:10.420]  He's been around for a long time.
[02:11:11.420 --> 02:11:12.420]  He definitely deserves the light, the shine, for sure.
[02:11:13.420 --> 02:11:14.420]  That's why I made that flyer even though, G,
[02:11:15.420 --> 02:11:17.420]  because I wanted people to know that it's not like, you know,
[02:11:18.420 --> 02:11:19.420]  some of us have been around for a while.
[02:11:20.420 --> 02:11:21.420]  Some of us want to help.
[02:11:21.980 --> 02:11:24.980]  We were selling weed together before all this regulatory shit.
[02:11:25.980 --> 02:11:26.980]  Oh man, I had to pay for my college, man.
[02:11:27.980 --> 02:11:31.980]  Well, Brian stepped up his Photoshop skills just for you.
[02:11:32.980 --> 02:11:33.980]  Yeah, I was, yeah.
[02:11:34.980 --> 02:11:35.980]  Well, you know.
[02:11:36.980 --> 02:11:41.980]  From the first flyer with Josh to this one, it's, it's, uh.
[02:11:42.980 --> 02:11:43.980]  It's cleaner.
[02:11:44.980 --> 02:11:45.980]  It's sleeker.
[02:11:46.980 --> 02:11:47.980]  It's a tight fit.
[02:11:48.540 --> 02:11:52.540]  We're gonna see your journey as a graphic designer as well.
[02:11:53.540 --> 02:11:54.540]  Yeah, that is not my forte.
[02:11:55.540 --> 02:11:57.540]  Me neither, but I got to do it every fucking week.
[02:11:58.540 --> 02:11:59.540]  That's why I loved when you did it.
[02:12:00.540 --> 02:12:01.540]  I was like that first one.
[02:12:02.540 --> 02:12:03.540]  I was like, this is tough, but it's good enough.
[02:12:04.540 --> 02:12:05.540]  It works for me.
[02:12:06.540 --> 02:12:07.540]  Well, I'm just, I'm honored.
[02:12:08.540 --> 02:12:11.540]  You know, like I said, I've been doing, these guys put me on.
[02:12:12.540 --> 02:12:13.540]  I really appreciate it.
[02:12:14.540 --> 02:12:15.540]  I've been doing this a long time.
[02:12:16.100 --> 02:12:17.100]  Nothing's going to change, you know, as far as that goes.
[02:12:18.100 --> 02:12:20.100]  It'd just be, uh, it'd be nice to get, you know, my seeds into some more
[02:12:21.100 --> 02:12:25.100]  people's hands and, um, you know, really start to see, um, you know,
[02:12:26.100 --> 02:12:29.100]  see some expansion, you know, see some people grow on some stuff that
[02:12:30.100 --> 02:12:35.100]  isn't, you know, uh, a cake or a, um, a runt or a, you know, something
[02:12:36.100 --> 02:12:41.100]  like that and really just, uh, you know, um, expanding the, the
[02:12:41.660 --> 02:12:44.660]  diversity of flower on shelves across the country, you know, and
[02:12:45.660 --> 02:12:48.660]  obviously everyone's got their bottom line to worry about, but,
[02:12:49.660 --> 02:12:53.660]  you know, it's, uh, um, it's just fun ultimately for me to breed.
[02:12:54.660 --> 02:12:57.660]  And it's what my passion is in this industry.
[02:12:58.660 --> 02:13:01.660]  You know, there's growers, there's extractors and, you know, me, I'm a,
[02:13:02.660 --> 02:13:05.660]  I'm a farmer breeder and that's like, kind of what I'm going to
[02:13:06.660 --> 02:13:07.660]  continue to do.
[02:13:08.220 --> 02:13:11.220]  You know, kind of behind the scenes or front of the house or whatever,
[02:13:12.220 --> 02:13:13.220]  you know?
[02:13:13.220 --> 02:13:15.220]  So, um, I'm just, I'm honored to be on this.
[02:13:16.220 --> 02:13:19.220]  I mean, I've been watching this show, you know, for a while and it's,
[02:13:20.220 --> 02:13:23.220]  it's, uh, you know, I'm honored to be on it.
[02:13:24.220 --> 02:13:27.220]  So I appreciate, um, appreciate the chance.
[02:13:28.220 --> 02:13:29.220]  Yeah.
[02:13:29.220 --> 02:13:32.220]  Well, no, I love, I mean, Brian, if your reason for bringing him on
[02:13:33.220 --> 02:13:36.220]  was to kind of get him on the show, I mean, I think you're right.
[02:13:36.780 --> 02:13:39.780]  My reason for bringing him on was to kind of shine a light on someone
[02:13:40.780 --> 02:13:41.780]  who deserves attention.
[02:13:41.780 --> 02:13:42.780]  That's kind of what I live to do.
[02:13:43.780 --> 02:13:44.780]  So that's exactly what I feel.
[02:13:45.780 --> 02:13:49.780]  And it seems like Nick and Brian think that you deserve a little more
[02:13:50.780 --> 02:13:51.780]  attention than you currently get.
[02:13:52.780 --> 02:13:53.780]  100.
[02:13:53.780 --> 02:13:54.780]  I keep tagging him in everyone's posts.
[02:13:55.780 --> 02:13:57.780]  People are like, yo, who's the next up and coming breed?
[02:13:58.780 --> 02:13:59.780]  I'm like tagging him.
[02:13:59.780 --> 02:14:02.780]  Every time I'm like trying to spread his genetics everywhere I can go.
[02:14:03.780 --> 02:14:04.780]  Like I traveled the world.
[02:14:05.340 --> 02:14:07.340]  I put some genome alchemy in my pocket before I touched road.
[02:14:08.340 --> 02:14:11.340]  I mean, I do what I can, but he definitely deserves more than what I can
[02:14:12.340 --> 02:14:13.340]  push out there for him.
[02:14:14.340 --> 02:14:17.340]  The cup that you won, man, was the judges on that.
[02:14:18.340 --> 02:14:19.340]  I felt like we're legit people.
[02:14:20.340 --> 02:14:21.340]  Yeah, absolutely.
[02:14:21.340 --> 02:14:23.340]  And that was, that was great too, to be able to win, you know,
[02:14:24.340 --> 02:14:27.340]  a cup of a genetic that I produced, you know, because I've been,
[02:14:28.340 --> 02:14:31.340]  you know, we won Canada's cups with, with pink house, you know,
[02:14:31.900 --> 02:14:34.900]  like with our, our grow teams there and grow teams that I've been on.
[02:14:35.900 --> 02:14:36.900]  SFV, yeah, yeah, yeah.
[02:14:37.900 --> 02:14:40.900]  You know, we've, we've won high times cups and, you know,
[02:14:41.900 --> 02:14:42.900]  that sort of thing.
[02:14:43.900 --> 02:14:45.900]  But this was, you know, this was all me, you know, in a sense of like
[02:14:46.900 --> 02:14:48.900]  single source, you know, I bred the strain, I grew it.
[02:14:49.900 --> 02:14:52.900]  I did everything that came to put it in front of the judges, you know,
[02:14:53.900 --> 02:14:56.900]  and that was, that was a bit unique, you know, and the fact that it was
[02:14:57.900 --> 02:15:00.900]  in front of some pretty hardcore judges, you know, I mean,
[02:15:01.900 --> 02:15:04.900]  some people that are very real about their expectations of flour and not
[02:15:05.900 --> 02:15:08.900]  gonna, you know, kind of pick the lesser of evils, but literally just
[02:15:09.900 --> 02:15:10.900]  extremely harsh.
[02:15:11.900 --> 02:15:14.900]  Like I was like, comparing notes and some of them were given zeros.
[02:15:15.900 --> 02:15:18.900]  Damn, you know, and that's, and you're shy, man.
[02:15:19.900 --> 02:15:23.900]  I would say that for, for the loud kind of stuff where you crack it open,
[02:15:24.900 --> 02:15:26.900]  I remember whatever your number was on that.
[02:15:27.900 --> 02:15:30.900]  I felt like the judges were kind of straight and gossiping about it.
[02:15:31.900 --> 02:15:35.900]  So that's what you can expect, you know, with at least with a lot of
[02:15:36.900 --> 02:15:39.900]  my genetics, you know, that's, that just happened to be the one that
[02:15:40.900 --> 02:15:43.900]  I had ready for the cup at that time, you know, it was timing was right.
